node1,node2,tstart,tend,line
Arnos Grove,Southgate,619,622,Piccadilly line to Southgate
Arnos Grove,Southgate,629,632,Piccadilly line to Southgate
Arnos Grove,Southgate,638,641,Piccadilly line to Southgate
Arnos Grove,Southgate,645,648,Piccadilly line to Southgate
Arnos Grove,Southgate,656,659,Piccadilly line to Southgate
Arnos Grove,Southgate,707,710,Piccadilly line to Southgate
Arnos Grove,Southgate,716,719,Piccadilly line to Southgate
Arnos Grove,Southgate,723,726,Piccadilly line to Southgate
Arnos Grove,Southgate,728,731,Piccadilly line to Southgate
Arnos Grove,Southgate,731,734,Piccadilly line to Southgate
Arnos Grove,Southgate,738,741,Piccadilly line to Southgate
Arnos Grove,Southgate,741,744,Piccadilly line to Southgate
Arnos Grove,Southgate,746,749,Piccadilly line to Southgate
Arnos Grove,Southgate,749,752,Piccadilly line to Southgate
Arnos Grove,Southgate,753,756,Piccadilly line to Southgate
Arnos Grove,Southgate,756,759,Piccadilly line to Southgate
Arnos Grove,Southgate,759,762,Piccadilly line to Southgate
Arnos Grove,Southgate,803,806,Piccadilly line to Southgate
Arnos Grove,Southgate,806,809,Piccadilly line to Southgate
Arnos Grove,Southgate,809,812,Piccadilly line to Southgate
Arnos Grove,Southgate,813,816,Piccadilly line to Southgate
Arnos Grove,Southgate,816,819,Piccadilly line to Southgate
Arnos Grove,Southgate,819,822,Piccadilly line to Southgate
Arnos Grove,Southgate,823,826,Piccadilly line to Southgate
Arnos Grove,Southgate,826,829,Piccadilly line to Southgate
Arnos Grove,Southgate,829,832,Piccadilly line to Southgate
Arnos Grove,Southgate,833,836,Piccadilly line to Southgate
Arnos Grove,Southgate,837,840,Piccadilly line to Southgate
Arnos Grove,Southgate,839,842,Piccadilly line to Southgate
Arnos Grove,Southgate,844,847,Piccadilly line to Southgate
Arnos Grove,Southgate,847,850,Piccadilly line to Southgate
Arnos Grove,Southgate,850,853,Piccadilly line to Southgate
Arnos Grove,Southgate,853,856,Piccadilly line to Southgate
Arnos Grove,Southgate,857,860,Piccadilly line to Southgate
Arnos Grove,Southgate,900,903,Piccadilly line to Southgate
Arnos Grove,Southgate,903,906,Piccadilly line to Southgate
Arnos Grove,Southgate,907,910,Piccadilly line to Southgate
Arnos Grove,Southgate,910,913,Piccadilly line to Southgate
Arnos Grove,Southgate,913,916,Piccadilly line to Southgate
Arnos Grove,Southgate,918,921,Piccadilly line to Southgate
Arnos Grove,Southgate,920,923,Piccadilly line to Southgate
Arnos Grove,Southgate,924,927,Piccadilly line to Southgate
Arnos Grove,Southgate,928,931,Piccadilly line to Southgate
Arnos Grove,Southgate,930,933,Piccadilly line to Southgate
Arnos Grove,Southgate,934,937,Piccadilly line to Southgate
Arnos Grove,Southgate,938,941,Piccadilly line to Southgate
Arnos Grove,Southgate,940,943,Piccadilly line to Southgate
Arnos Grove,Southgate,944,947,Piccadilly line to Southgate
Arnos Grove,Southgate,947,950,Piccadilly line to Southgate
Arnos Grove,Southgate,950,953,Piccadilly line to Southgate
Arnos Grove,Southgate,954,957,Piccadilly line to Southgate
Arnos Grove,Southgate,957,960,Piccadilly line to Southgate
Arnos Grove,Southgate,1000,1003,Piccadilly line to Southgate
Arnos Grove,Southgate,1002,1005,Piccadilly line to Southgate
Arnos Grove,Southgate,1007,1010,Piccadilly line to Southgate
Arnos Grove,Southgate,1009,1012,Piccadilly line to Southgate
Arnos Grove,Southgate,1013,1016,Piccadilly line to Southgate
Arnos Grove,Southgate,1017,1020,Piccadilly line to Southgate
Arnos Grove,Southgate,1020,1023,Piccadilly line to Southgate
Arnos Grove,Southgate,1023,1026,Piccadilly line to Southgate
Arnos Grove,Southgate,1027,1030,Piccadilly line to Southgate
Arnos Grove,Southgate,1029,1032,Piccadilly line to Southgate
Arnos Grove,Southgate,1032,1035,Piccadilly line to Southgate
Arnos Grove,Southgate,1037,1040,Piccadilly line to Southgate
Arnos Grove,Southgate,1039,1042,Piccadilly line to Southgate
Arnos Grove,Southgate,1043,1046,Piccadilly line to Southgate
Arnos Grove,Southgate,1047,1050,Piccadilly line to Southgate
Arnos Grove,Southgate,1049,1052,Piccadilly line to Southgate
Arnos Grove,Southgate,1053,1056,Piccadilly line to Southgate
Arnos Grove,Southgate,1057,1060,Piccadilly line to Southgate
Arnos Grove,Southgate,1059,1062,Piccadilly line to Southgate
Arnos Grove,Southgate,1102,1105,Piccadilly line to Southgate
Arnos Grove,Southgate,1107,1110,Piccadilly line to Southgate
Arnos Grove,Southgate,1110,1113,Piccadilly line to Southgate
Arnos Grove,Southgate,1114,1117,Piccadilly line to Southgate
Arnos Grove,Southgate,1118,1121,Piccadilly line to Southgate
Arnos Grove,Southgate,1122,1125,Piccadilly line to Southgate
Arnos Grove,Southgate,1126,1129,Piccadilly line to Southgate
Arnos Grove,Southgate,1129,1132,Piccadilly line to Southgate
Arnos Grove,Southgate,1132,1135,Piccadilly line to Southgate
Arnos Grove,Southgate,1134,1137,Piccadilly line to Southgate
Arnos Grove,Southgate,1137,1140,Piccadilly line to Southgate
Arnos Grove,Southgate,1140,1143,Piccadilly line to Southgate
Arnos Grove,Southgate,1143,1146,Piccadilly line to Southgate
Arnos Grove,Southgate,1146,1149,Piccadilly line to Southgate
Arnos Grove,Southgate,1150,1153,Piccadilly line to Southgate
Arnos Grove,Southgate,1153,1156,Piccadilly line to Southgate
Arnos Grove,Southgate,1156,1159,Piccadilly line to Southgate
Arnos Grove,Southgate,1159,1162,Piccadilly line to Southgate
Arnos Grove,Southgate,1202,1205,Piccadilly line to Southgate
Arnos Grove,Southgate,1206,1209,Piccadilly line to Southgate
Arnos Grove,Southgate,1210,1213,Piccadilly line to Southgate
Arnos Grove,Southgate,1213,1216,Piccadilly line to Southgate
Arnos Grove,Southgate,1216,1219,Piccadilly line to Southgate
Arnos Grove,Southgate,1219,1222,Piccadilly line to Southgate
Arnos Grove,Southgate,1222,1225,Piccadilly line to Southgate
Arnos Grove,Southgate,1226,1229,Piccadilly line to Southgate
Arnos Grove,Southgate,1230,1233,Piccadilly line to Southgate
Arnos Grove,Southgate,1233,1236,Piccadilly line to Southgate
Arnos Grove,Southgate,1236,1239,Piccadilly line to Southgate
Arnos Grove,Southgate,1239,1242,Piccadilly line to Southgate
Arnos Grove,Southgate,1242,1245,Piccadilly line to Southgate
Arnos Grove,Southgate,1246,1249,Piccadilly line to Southgate
Arnos Grove,Southgate,1250,1253,Piccadilly line to Southgate
Arnos Grove,Southgate,1253,1256,Piccadilly line to Southgate
Arnos Grove,Southgate,1256,1259,Piccadilly line to Southgate
Arnos Grove,Southgate,1259,1262,Piccadilly line to Southgate
Arnos Grove,Southgate,1302,1305,Piccadilly line to Southgate
Arnos Grove,Southgate,1306,1309,Piccadilly line to Southgate
