node1,node2,tstart,tend,line
Barons Court,Earl's Court,536,539,Piccadilly line to Earl's Court
Barons Court,Earl's Court,546,549,Piccadilly line to Earl's Court
Barons Court,Earl's Court,553,556,Piccadilly line to Earl's Court
Barons Court,Earl's Court,601,604,Piccadilly line to Earl's Court
Barons Court,Earl's Court,607,610,Piccadilly line to Earl's Court
Barons Court,Earl's Court,613,616,Piccadilly line to Earl's Court
Barons Court,Earl's Court,618,621,Piccadilly line to Earl's Court
Barons Court,Earl's Court,623,626,Piccadilly line to Earl's Court
Barons Court,Earl's Court,628,631,Piccadilly line to Earl's Court
Barons Court,Earl's Court,632,635,Piccadilly line to Earl's Court
Barons Court,Earl's Court,636,639,Piccadilly line to Earl's Court
Barons Court,Earl's Court,640,643,Piccadilly line to Earl's Court
Barons Court,Earl's Court,644,647,Piccadilly line to Earl's Court
Barons Court,Earl's Court,647,650,Piccadilly line to Earl's Court
Barons Court,Earl's Court,651,654,Piccadilly line to Earl's Court
Barons Court,Earl's Court,654,657,Piccadilly line to Earl's Court
Barons Court,Earl's Court,657,660,Piccadilly line to Earl's Court
Barons Court,Earl's Court,700,703,Piccadilly line to Earl's Court
Barons Court,Earl's Court,702,705,Piccadilly line to Earl's Court
Barons Court,Earl's Court,705,708,Piccadilly line to Earl's Court
Barons Court,Earl's Court,707,710,Piccadilly line to Earl's Court
Barons Court,Earl's Court,710,713,Piccadilly line to Earl's Court
Barons Court,Earl's Court,712,715,Piccadilly line to Earl's Court
Barons Court,Earl's Court,715,718,Piccadilly line to Earl's Court
Barons Court,Earl's Court,717,720,Piccadilly line to Earl's Court
Barons Court,Earl's Court,720,723,Piccadilly line to Earl's Court
Barons Court,Earl's Court,722,725,Piccadilly line to Earl's Court
Barons Court,Earl's Court,725,728,Piccadilly line to Earl's Court
Barons Court,Earl's Court,727,730,Piccadilly line to Earl's Court
Barons Court,Earl's Court,730,733,Piccadilly line to Earl's Court
Barons Court,Earl's Court,732,735,Piccadilly line to Earl's Court
Barons Court,Earl's Court,735,738,Piccadilly line to Earl's Court
Barons Court,Earl's Court,737,740,Piccadilly line to Earl's Court
Barons Court,Earl's Court,740,743,Piccadilly line to Earl's Court
Barons Court,Earl's Court,742,745,Piccadilly line to Earl's Court
Barons Court,Earl's Court,745,748,Piccadilly line to Earl's Court
Barons Court,Earl's Court,747,750,Piccadilly line to Earl's Court
Barons Court,Earl's Court,750,753,Piccadilly line to Earl's Court
Barons Court,Earl's Court,752,755,Piccadilly line to Earl's Court
Barons Court,Earl's Court,755,758,Piccadilly line to Earl's Court
Barons Court,Earl's Court,757,760,Piccadilly line to Earl's Court
Barons Court,Earl's Court,800,803,Piccadilly line to Earl's Court
Barons Court,Earl's Court,802,805,Piccadilly line to Earl's Court
Barons Court,Earl's Court,805,808,Piccadilly line to Earl's Court
Barons Court,Earl's Court,807,810,Piccadilly line to Earl's Court
Barons Court,Earl's Court,810,813,Piccadilly line to Earl's Court
Barons Court,Earl's Court,812,815,Piccadilly line to Earl's Court
Barons Court,Earl's Court,815,818,Piccadilly line to Earl's Court
Barons Court,Earl's Court,817,820,Piccadilly line to Earl's Court
Barons Court,Earl's Court,820,823,Piccadilly line to Earl's Court
Barons Court,Earl's Court,822,825,Piccadilly line to Earl's Court
Barons Court,Earl's Court,825,828,Piccadilly line to Earl's Court
Barons Court,Earl's Court,827,830,Piccadilly line to Earl's Court
Barons Court,Earl's Court,830,833,Piccadilly line to Earl's Court
Barons Court,Earl's Court,832,835,Piccadilly line to Earl's Court
Barons Court,Earl's Court,835,838,Piccadilly line to Earl's Court
Barons Court,Earl's Court,837,840,Piccadilly line to Earl's Court
