node1,node2,tstart,tend,line
Bounds Green,Wood Green,521,523,Piccadilly line to Wood Green
Bounds Green,Wood Green,527,529,Piccadilly line to Wood Green
Bounds Green,Wood Green,532,534,Piccadilly line to Wood Green
Bounds Green,Wood Green,537,539,Piccadilly line to Wood Green
Bounds Green,Wood Green,542,544,Piccadilly line to Wood Green
Bounds Green,Wood Green,547,549,Piccadilly line to Wood Green
Bounds Green,Wood Green,552,554,Piccadilly line to Wood Green
Bounds Green,Wood Green,557,559,Piccadilly line to Wood Green
Bounds Green,Wood Green,602,604,Piccadilly line to Wood Green
Bounds Green,Wood Green,606,608,Piccadilly line to Wood Green
Bounds Green,Wood Green,610,612,Piccadilly line to Wood Green
Bounds Green,Wood Green,614,616,Piccadilly line to Wood Green
Bounds Green,Wood Green,617,619,Piccadilly line to Wood Green
Bounds Green,Wood Green,620,622,Piccadilly line to Wood Green
Bounds Green,Wood Green,622,624,Piccadilly line to Wood Green
Bounds Green,Wood Green,625,627,Piccadilly line to Wood Green
Bounds Green,Wood Green,627,629,Piccadilly line to Wood Green
Bounds Green,Wood Green,630,632,Piccadilly line to Wood Green
Bounds Green,Wood Green,632,634,Piccadilly line to Wood Green
Bounds Green,Wood Green,635,637,Piccadilly line to Wood Green
Bounds Green,Wood Green,637,639,Piccadilly line to Wood Green
Bounds Green,Wood Green,640,642,Piccadilly line to Wood Green
Bounds Green,Wood Green,642,644,Piccadilly line to Wood Green
Bounds Green,Wood Green,645,647,Piccadilly line to Wood Green
Bounds Green,Wood Green,647,649,Piccadilly line to Wood Green
Bounds Green,Wood Green,650,652,Piccadilly line to Wood Green
Bounds Green,Wood Green,652,654,Piccadilly line to Wood Green
Bounds Green,Wood Green,655,657,Piccadilly line to Wood Green
Bounds Green,Wood Green,657,659,Piccadilly line to Wood Green
Bounds Green,Wood Green,702,704,Piccadilly line to Wood Green
Bounds Green,Wood Green,705,707,Piccadilly line to Wood Green
Bounds Green,Wood Green,707,709,Piccadilly line to Wood Green
Bounds Green,Wood Green,710,712,Piccadilly line to Wood Green
Bounds Green,Wood Green,712,714,Piccadilly line to Wood Green
Bounds Green,Wood Green,715,717,Piccadilly line to Wood Green
Bounds Green,Wood Green,717,719,Piccadilly line to Wood Green
Bounds Green,Wood Green,720,722,Piccadilly line to Wood Green
Bounds Green,Wood Green,722,724,Piccadilly line to Wood Green
Bounds Green,Wood Green,725,727,Piccadilly line to Wood Green
Bounds Green,Wood Green,727,729,Piccadilly line to Wood Green
Bounds Green,Wood Green,730,732,Piccadilly line to Wood Green
Bounds Green,Wood Green,732,734,Piccadilly line to Wood Green
Bounds Green,Wood Green,735,737,Piccadilly line to Wood Green
Bounds Green,Wood Green,737,739,Piccadilly line to Wood Green
Bounds Green,Wood Green,740,742,Piccadilly line to Wood Green
Bounds Green,Wood Green,742,744,Piccadilly line to Wood Green
Bounds Green,Wood Green,745,747,Piccadilly line to Wood Green
Bounds Green,Wood Green,747,749,Piccadilly line to Wood Green
Bounds Green,Wood Green,750,752,Piccadilly line to Wood Green
Bounds Green,Wood Green,752,754,Piccadilly line to Wood Green
Bounds Green,Wood Green,755,757,Piccadilly line to Wood Green
Bounds Green,Wood Green,757,759,Piccadilly line to Wood Green
Bounds Green,Wood Green,800,802,Piccadilly line to Wood Green
Bounds Green,Wood Green,802,804,Piccadilly line to Wood Green
Bounds Green,Wood Green,805,807,Piccadilly line to Wood Green
Bounds Green,Wood Green,807,809,Piccadilly line to Wood Green
Bounds Green,Wood Green,810,812,Piccadilly line to Wood Green
Bounds Green,Wood Green,812,814,Piccadilly line to Wood Green
Bounds Green,Wood Green,815,817,Piccadilly line to Wood Green
Bounds Green,Wood Green,817,819,Piccadilly line to Wood Green
Bounds Green,Wood Green,820,822,Piccadilly line to Wood Green
Bounds Green,Wood Green,822,824,Piccadilly line to Wood Green
Bounds Green,Wood Green,825,827,Piccadilly line to Wood Green
Bounds Green,Wood Green,827,829,Piccadilly line to Wood Green
Bounds Green,Wood Green,830,832,Piccadilly line to Wood Green
Bounds Green,Wood Green,832,834,Piccadilly line to Wood Green
Bounds Green,Wood Green,835,837,Piccadilly line to Wood Green
Bounds Green,Wood Green,837,839,Piccadilly line to Wood Green
Bounds Green,Wood Green,840,842,Piccadilly line to Wood Green
Bounds Green,Wood Green,842,844,Piccadilly line to Wood Green
Bounds Green,Wood Green,845,847,Piccadilly line to Wood Green
Bounds Green,Wood Green,847,849,Piccadilly line to Wood Green
Bounds Green,Wood Green,850,852,Piccadilly line to Wood Green
Bounds Green,Wood Green,852,854,Piccadilly line to Wood Green
Bounds Green,Wood Green,855,857,Piccadilly line to Wood Green
Bounds Green,Wood Green,857,859,Piccadilly line to Wood Green
Bounds Green,Wood Green,900,902,Piccadilly line to Wood Green
Bounds Green,Wood Green,902,904,Piccadilly line to Wood Green
Bounds Green,Wood Green,905,907,Piccadilly line to Wood Green
Bounds Green,Wood Green,907,909,Piccadilly line to Wood Green
Bounds Green,Wood Green,910,912,Piccadilly line to Wood Green
Bounds Green,Wood Green,912,914,Piccadilly line to Wood Green
Bounds Green,Wood Green,915,917,Piccadilly line to Wood Green
Bounds Green,Wood Green,917,919,Piccadilly line to Wood Green
Bounds Green,Wood Green,920,922,Piccadilly line to Wood Green
Bounds Green,Wood Green,922,924,Piccadilly line to Wood Green
Bounds Green,Wood Green,925,927,Piccadilly line to Wood Green
Bounds Green,Wood Green,927,929,Piccadilly line to Wood Green
Bounds Green,Wood Green,930,932,Piccadilly line to Wood Green
Bounds Green,Wood Green,932,934,Piccadilly line to Wood Green
Bounds Green,Wood Green,935,937,Piccadilly line to Wood Green
Bounds Green,Wood Green,937,939,Piccadilly line to Wood Green
Bounds Green,Wood Green,940,942,Piccadilly line to Wood Green
Bounds Green,Wood Green,942,944,Piccadilly line to Wood Green
Bounds Green,Wood Green,945,947,Piccadilly line to Wood Green
Bounds Green,Wood Green,947,949,Piccadilly line to Wood Green
Bounds Green,Wood Green,950,952,Piccadilly line to Wood Green
Bounds Green,Wood Green,952,954,Piccadilly line to Wood Green
Bounds Green,Wood Green,955,957,Piccadilly line to Wood Green
Bounds Green,Wood Green,957,959,Piccadilly line to Wood Green
Bounds Green,Wood Green,1000,1002,Piccadilly line to Wood Green
Bounds Green,Wood Green,1002,1004,Piccadilly line to Wood Green
Bounds Green,Wood Green,1005,1007,Piccadilly line to Wood Green
Bounds Green,Wood Green,1007,1009,Piccadilly line to Wood Green
Bounds Green,Wood Green,1010,1012,Piccadilly line to Wood Green
Bounds Green,Wood Green,1012,1014,Piccadilly line to Wood Green
Bounds Green,Wood Green,1015,1017,Piccadilly line to Wood Green
Bounds Green,Wood Green,1017,1019,Piccadilly line to Wood Green
Bounds Green,Wood Green,1020,1022,Piccadilly line to Wood Green
Bounds Green,Wood Green,1022,1024,Piccadilly line to Wood Green
Bounds Green,Wood Green,1025,1027,Piccadilly line to Wood Green
Bounds Green,Wood Green,1027,1029,Piccadilly line to Wood Green
Bounds Green,Wood Green,1030,1032,Piccadilly line to Wood Green
Bounds Green,Wood Green,1033,1035,Piccadilly line to Wood Green
Bounds Green,Wood Green,1036,1038,Piccadilly line to Wood Green
Bounds Green,Wood Green,1039,1041,Piccadilly line to Wood Green
Bounds Green,Wood Green,1042,1044,Piccadilly line to Wood Green
Bounds Green,Wood Green,1045,1047,Piccadilly line to Wood Green
Bounds Green,Wood Green,1048,1050,Piccadilly line to Wood Green
Bounds Green,Wood Green,1051,1053,Piccadilly line to Wood Green
Bounds Green,Wood Green,1053,1055,Piccadilly line to Wood Green
Bounds Green,Wood Green,1056,1058,Piccadilly line to Wood Green
Bounds Green,Wood Green,1059,1061,Piccadilly line to Wood Green
Bounds Green,Wood Green,1102,1104,Piccadilly line to Wood Green
Bounds Green,Wood Green,1104,1106,Piccadilly line to Wood Green
Bounds Green,Wood Green,1108,1110,Piccadilly line to Wood Green
Bounds Green,Wood Green,1111,1113,Piccadilly line to Wood Green
Bounds Green,Wood Green,1114,1116,Piccadilly line to Wood Green
Bounds Green,Wood Green,1116,1118,Piccadilly line to Wood Green
Bounds Green,Wood Green,1119,1121,Piccadilly line to Wood Green
Bounds Green,Wood Green,1122,1124,Piccadilly line to Wood Green
Bounds Green,Wood Green,1124,1126,Piccadilly line to Wood Green
Bounds Green,Wood Green,1128,1130,Piccadilly line to Wood Green
Bounds Green,Wood Green,1131,1133,Piccadilly line to Wood Green
Bounds Green,Wood Green,1134,1136,Piccadilly line to Wood Green
Bounds Green,Wood Green,1136,1138,Piccadilly line to Wood Green
Bounds Green,Wood Green,1139,1141,Piccadilly line to Wood Green
Bounds Green,Wood Green,1142,1144,Piccadilly line to Wood Green
Bounds Green,Wood Green,1145,1147,Piccadilly line to Wood Green
Bounds Green,Wood Green,1148,1150,Piccadilly line to Wood Green
Bounds Green,Wood Green,1151,1153,Piccadilly line to Wood Green
Bounds Green,Wood Green,1154,1156,Piccadilly line to Wood Green
Bounds Green,Wood Green,1156,1158,Piccadilly line to Wood Green
Bounds Green,Wood Green,1159,1161,Piccadilly line to Wood Green
Bounds Green,Wood Green,1202,1204,Piccadilly line to Wood Green
Bounds Green,Wood Green,1205,1207,Piccadilly line to Wood Green
Bounds Green,Wood Green,1208,1210,Piccadilly line to Wood Green
Bounds Green,Wood Green,1211,1213,Piccadilly line to Wood Green
Bounds Green,Wood Green,1214,1216,Piccadilly line to Wood Green
Bounds Green,Wood Green,1216,1218,Piccadilly line to Wood Green
Bounds Green,Wood Green,1219,1221,Piccadilly line to Wood Green
Bounds Green,Wood Green,1222,1224,Piccadilly line to Wood Green
Bounds Green,Wood Green,1225,1227,Piccadilly line to Wood Green
