node1,node2,tstart,tend,line
Bounds Green,Arnos Grove,616,620,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,626,630,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,633,637,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,641,645,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,653,657,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,658,662,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,703,707,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,708,712,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,712,716,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,716,720,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,720,724,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,724,728,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,727,731,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,731,735,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,734,738,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,737,741,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,740,744,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,742,746,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,745,749,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,747,751,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,750,754,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,752,756,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,755,759,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,757,761,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,800,804,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,802,806,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,805,809,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,807,811,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,810,814,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,812,816,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,815,819,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,817,821,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,820,824,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,822,826,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,825,829,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,827,831,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,830,834,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,833,837,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,835,839,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,838,842,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,841,845,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,843,847,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,846,850,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,848,852,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,851,855,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,853,857,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,856,860,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,858,862,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,901,905,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,903,907,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,906,910,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,908,912,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,911,915,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,914,918,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,916,920,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,919,923,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,921,925,Piccadilly line to Arnos Grove
Bounds Green,Arnos Grove,924,928,Piccadilly line to Arnos Grove
