node1,node2,tstart,tend,line
Covent Garden,Holborn,553,554,Piccadilly line to Holborn
Covent Garden,Holborn,603,604,Piccadilly line to Holborn
Covent Garden,Holborn,610,611,Piccadilly line to Holborn
Covent Garden,Holborn,618,619,Piccadilly line to Holborn
Covent Garden,Holborn,624,625,Piccadilly line to Holborn
Covent Garden,Holborn,630,631,Piccadilly line to Holborn
Covent Garden,Holborn,635,636,Piccadilly line to Holborn
Covent Garden,Holborn,640,641,Piccadilly line to Holborn
Covent Garden,Holborn,645,646,Piccadilly line to Holborn
Covent Garden,Holborn,649,650,Piccadilly line to Holborn
Covent Garden,Holborn,653,654,Piccadilly line to Holborn
Covent Garden,Holborn,657,658,Piccadilly line to Holborn
Covent Garden,Holborn,701,702,Piccadilly line to Holborn
Covent Garden,Holborn,704,705,Piccadilly line to Holborn
Covent Garden,Holborn,708,709,Piccadilly line to Holborn
Covent Garden,Holborn,711,712,Piccadilly line to Holborn
Covent Garden,Holborn,714,715,Piccadilly line to Holborn
Covent Garden,Holborn,717,718,Piccadilly line to Holborn
Covent Garden,Holborn,719,720,Piccadilly line to Holborn
Covent Garden,Holborn,722,723,Piccadilly line to Holborn
Covent Garden,Holborn,724,725,Piccadilly line to Holborn
Covent Garden,Holborn,727,728,Piccadilly line to Holborn
Covent Garden,Holborn,729,730,Piccadilly line to Holborn
Covent Garden,Holborn,732,733,Piccadilly line to Holborn
Covent Garden,Holborn,734,735,Piccadilly line to Holborn
Covent Garden,Holborn,737,738,Piccadilly line to Holborn
Covent Garden,Holborn,739,740,Piccadilly line to Holborn
Covent Garden,Holborn,742,743,Piccadilly line to Holborn
Covent Garden,Holborn,744,745,Piccadilly line to Holborn
Covent Garden,Holborn,747,748,Piccadilly line to Holborn
Covent Garden,Holborn,749,750,Piccadilly line to Holborn
Covent Garden,Holborn,752,753,Piccadilly line to Holborn
Covent Garden,Holborn,754,755,Piccadilly line to Holborn
Covent Garden,Holborn,757,758,Piccadilly line to Holborn
Covent Garden,Holborn,759,760,Piccadilly line to Holborn
Covent Garden,Holborn,802,803,Piccadilly line to Holborn
Covent Garden,Holborn,804,805,Piccadilly line to Holborn
Covent Garden,Holborn,807,808,Piccadilly line to Holborn
Covent Garden,Holborn,810,811,Piccadilly line to Holborn
Covent Garden,Holborn,812,813,Piccadilly line to Holborn
Covent Garden,Holborn,815,816,Piccadilly line to Holborn
Covent Garden,Holborn,817,818,Piccadilly line to Holborn
Covent Garden,Holborn,820,821,Piccadilly line to Holborn
Covent Garden,Holborn,822,823,Piccadilly line to Holborn
Covent Garden,Holborn,825,826,Piccadilly line to Holborn
Covent Garden,Holborn,827,828,Piccadilly line to Holborn
Covent Garden,Holborn,830,831,Piccadilly line to Holborn
Covent Garden,Holborn,832,833,Piccadilly line to Holborn
Covent Garden,Holborn,835,836,Piccadilly line to Holborn
Covent Garden,Holborn,837,838,Piccadilly line to Holborn
Covent Garden,Holborn,840,841,Piccadilly line to Holborn
Covent Garden,Holborn,842,843,Piccadilly line to Holborn
Covent Garden,Holborn,845,846,Piccadilly line to Holborn
Covent Garden,Holborn,847,848,Piccadilly line to Holborn
Covent Garden,Holborn,850,851,Piccadilly line to Holborn
Covent Garden,Holborn,852,853,Piccadilly line to Holborn
Covent Garden,Holborn,855,856,Piccadilly line to Holborn
Covent Garden,Holborn,857,858,Piccadilly line to Holborn
Covent Garden,Holborn,900,901,Piccadilly line to Holborn
Covent Garden,Holborn,902,903,Piccadilly line to Holborn
Covent Garden,Holborn,905,906,Piccadilly line to Holborn
Covent Garden,Holborn,907,908,Piccadilly line to Holborn
Covent Garden,Holborn,910,911,Piccadilly line to Holborn
Covent Garden,Holborn,912,913,Piccadilly line to Holborn
Covent Garden,Holborn,915,916,Piccadilly line to Holborn
Covent Garden,Holborn,917,918,Piccadilly line to Holborn
Covent Garden,Holborn,919,920,Piccadilly line to Holborn
Covent Garden,Holborn,922,923,Piccadilly line to Holborn
Covent Garden,Holborn,924,925,Piccadilly line to Holborn
Covent Garden,Holborn,927,928,Piccadilly line to Holborn
Covent Garden,Holborn,929,930,Piccadilly line to Holborn
Covent Garden,Holborn,932,933,Piccadilly line to Holborn
Covent Garden,Holborn,934,935,Piccadilly line to Holborn
Covent Garden,Holborn,937,938,Piccadilly line to Holborn
Covent Garden,Holborn,939,940,Piccadilly line to Holborn
Covent Garden,Holborn,942,943,Piccadilly line to Holborn
Covent Garden,Holborn,944,945,Piccadilly line to Holborn
Covent Garden,Holborn,947,948,Piccadilly line to Holborn
Covent Garden,Holborn,949,950,Piccadilly line to Holborn
Covent Garden,Holborn,952,953,Piccadilly line to Holborn
Covent Garden,Holborn,954,955,Piccadilly line to Holborn
Covent Garden,Holborn,957,958,Piccadilly line to Holborn
Covent Garden,Holborn,959,960,Piccadilly line to Holborn
Covent Garden,Holborn,1002,1003,Piccadilly line to Holborn
Covent Garden,Holborn,1004,1005,Piccadilly line to Holborn
Covent Garden,Holborn,1007,1008,Piccadilly line to Holborn
Covent Garden,Holborn,1009,1010,Piccadilly line to Holborn
Covent Garden,Holborn,1012,1013,Piccadilly line to Holborn
Covent Garden,Holborn,1014,1015,Piccadilly line to Holborn
Covent Garden,Holborn,1017,1018,Piccadilly line to Holborn
Covent Garden,Holborn,1019,1020,Piccadilly line to Holborn
Covent Garden,Holborn,1022,1023,Piccadilly line to Holborn
Covent Garden,Holborn,1024,1025,Piccadilly line to Holborn
Covent Garden,Holborn,1027,1028,Piccadilly line to Holborn
Covent Garden,Holborn,1029,1030,Piccadilly line to Holborn
Covent Garden,Holborn,1032,1033,Piccadilly line to Holborn
Covent Garden,Holborn,1034,1035,Piccadilly line to Holborn
