node1,node2,tstart,tend,line
Finsbury Park,Arsenal,531,532,Piccadilly line to Arsenal
Finsbury Park,Arsenal,537,538,Piccadilly line to Arsenal
Finsbury Park,Arsenal,542,543,Piccadilly line to Arsenal
Finsbury Park,Arsenal,547,548,Piccadilly line to Arsenal
Finsbury Park,Arsenal,552,553,Piccadilly line to Arsenal
Finsbury Park,Arsenal,557,558,Piccadilly line to Arsenal
Finsbury Park,Arsenal,602,603,Piccadilly line to Arsenal
Finsbury Park,Arsenal,607,608,Piccadilly line to Arsenal
Finsbury Park,Arsenal,612,613,Piccadilly line to Arsenal
Finsbury Park,Arsenal,616,617,Piccadilly line to Arsenal
Finsbury Park,Arsenal,620,621,Piccadilly line to Arsenal
Finsbury Park,Arsenal,624,625,Piccadilly line to Arsenal
Finsbury Park,Arsenal,627,628,Piccadilly line to Arsenal
Finsbury Park,Arsenal,630,631,Piccadilly line to Arsenal
Finsbury Park,Arsenal,632,633,Piccadilly line to Arsenal
Finsbury Park,Arsenal,635,636,Piccadilly line to Arsenal
Finsbury Park,Arsenal,637,638,Piccadilly line to Arsenal
Finsbury Park,Arsenal,640,641,Piccadilly line to Arsenal
Finsbury Park,Arsenal,642,643,Piccadilly line to Arsenal
Finsbury Park,Arsenal,645,646,Piccadilly line to Arsenal
Finsbury Park,Arsenal,647,648,Piccadilly line to Arsenal
Finsbury Park,Arsenal,650,651,Piccadilly line to Arsenal
Finsbury Park,Arsenal,652,653,Piccadilly line to Arsenal
Finsbury Park,Arsenal,655,656,Piccadilly line to Arsenal
Finsbury Park,Arsenal,657,658,Piccadilly line to Arsenal
Finsbury Park,Arsenal,700,701,Piccadilly line to Arsenal
Finsbury Park,Arsenal,702,703,Piccadilly line to Arsenal
Finsbury Park,Arsenal,705,706,Piccadilly line to Arsenal
Finsbury Park,Arsenal,707,708,Piccadilly line to Arsenal
Finsbury Park,Arsenal,710,711,Piccadilly line to Arsenal
Finsbury Park,Arsenal,712,713,Piccadilly line to Arsenal
Finsbury Park,Arsenal,715,716,Piccadilly line to Arsenal
Finsbury Park,Arsenal,717,718,Piccadilly line to Arsenal
Finsbury Park,Arsenal,720,721,Piccadilly line to Arsenal
Finsbury Park,Arsenal,722,723,Piccadilly line to Arsenal
Finsbury Park,Arsenal,725,726,Piccadilly line to Arsenal
Finsbury Park,Arsenal,727,728,Piccadilly line to Arsenal
Finsbury Park,Arsenal,730,731,Piccadilly line to Arsenal
Finsbury Park,Arsenal,732,733,Piccadilly line to Arsenal
Finsbury Park,Arsenal,735,736,Piccadilly line to Arsenal
Finsbury Park,Arsenal,737,738,Piccadilly line to Arsenal
Finsbury Park,Arsenal,740,741,Piccadilly line to Arsenal
Finsbury Park,Arsenal,742,743,Piccadilly line to Arsenal
Finsbury Park,Arsenal,745,746,Piccadilly line to Arsenal
Finsbury Park,Arsenal,747,748,Piccadilly line to Arsenal
Finsbury Park,Arsenal,750,751,Piccadilly line to Arsenal
Finsbury Park,Arsenal,752,753,Piccadilly line to Arsenal
Finsbury Park,Arsenal,755,756,Piccadilly line to Arsenal
Finsbury Park,Arsenal,757,758,Piccadilly line to Arsenal
Finsbury Park,Arsenal,800,801,Piccadilly line to Arsenal
Finsbury Park,Arsenal,802,803,Piccadilly line to Arsenal
Finsbury Park,Arsenal,805,806,Piccadilly line to Arsenal
Finsbury Park,Arsenal,807,808,Piccadilly line to Arsenal
Finsbury Park,Arsenal,810,811,Piccadilly line to Arsenal
Finsbury Park,Arsenal,812,813,Piccadilly line to Arsenal
Finsbury Park,Arsenal,815,816,Piccadilly line to Arsenal
Finsbury Park,Arsenal,818,819,Piccadilly line to Arsenal
Finsbury Park,Arsenal,820,821,Piccadilly line to Arsenal
Finsbury Park,Arsenal,823,824,Piccadilly line to Arsenal
Finsbury Park,Arsenal,825,826,Piccadilly line to Arsenal
Finsbury Park,Arsenal,828,829,Piccadilly line to Arsenal
Finsbury Park,Arsenal,830,831,Piccadilly line to Arsenal
Finsbury Park,Arsenal,833,834,Piccadilly line to Arsenal
Finsbury Park,Arsenal,835,836,Piccadilly line to Arsenal
Finsbury Park,Arsenal,838,839,Piccadilly line to Arsenal
Finsbury Park,Arsenal,840,841,Piccadilly line to Arsenal
Finsbury Park,Arsenal,843,844,Piccadilly line to Arsenal
Finsbury Park,Arsenal,845,846,Piccadilly line to Arsenal
Finsbury Park,Arsenal,848,849,Piccadilly line to Arsenal
Finsbury Park,Arsenal,850,851,Piccadilly line to Arsenal
Finsbury Park,Arsenal,853,854,Piccadilly line to Arsenal
Finsbury Park,Arsenal,855,856,Piccadilly line to Arsenal
Finsbury Park,Arsenal,858,859,Piccadilly line to Arsenal
Finsbury Park,Arsenal,900,901,Piccadilly line to Arsenal
Finsbury Park,Arsenal,903,904,Piccadilly line to Arsenal
Finsbury Park,Arsenal,905,906,Piccadilly line to Arsenal
Finsbury Park,Arsenal,908,909,Piccadilly line to Arsenal
Finsbury Park,Arsenal,910,911,Piccadilly line to Arsenal
Finsbury Park,Arsenal,913,914,Piccadilly line to Arsenal
Finsbury Park,Arsenal,915,916,Piccadilly line to Arsenal
Finsbury Park,Arsenal,917,918,Piccadilly line to Arsenal
Finsbury Park,Arsenal,920,921,Piccadilly line to Arsenal
Finsbury Park,Arsenal,922,923,Piccadilly line to Arsenal
Finsbury Park,Arsenal,925,926,Piccadilly line to Arsenal
Finsbury Park,Arsenal,927,928,Piccadilly line to Arsenal
Finsbury Park,Arsenal,930,931,Piccadilly line to Arsenal
Finsbury Park,Arsenal,932,933,Piccadilly line to Arsenal
Finsbury Park,Arsenal,935,936,Piccadilly line to Arsenal
Finsbury Park,Arsenal,937,938,Piccadilly line to Arsenal
Finsbury Park,Arsenal,940,941,Piccadilly line to Arsenal
Finsbury Park,Arsenal,942,943,Piccadilly line to Arsenal
Finsbury Park,Arsenal,945,946,Piccadilly line to Arsenal
Finsbury Park,Arsenal,947,948,Piccadilly line to Arsenal
Finsbury Park,Arsenal,950,951,Piccadilly line to Arsenal
Finsbury Park,Arsenal,952,953,Piccadilly line to Arsenal
Finsbury Park,Arsenal,955,956,Piccadilly line to Arsenal
