node1,node2,tstart,tend,line
Finsbury Park,Manor House,606,608,Piccadilly line to Manor House
Finsbury Park,Manor House,616,618,Piccadilly line to Manor House
Finsbury Park,Manor House,623,625,Piccadilly line to Manor House
Finsbury Park,Manor House,631,633,Piccadilly line to Manor House
Finsbury Park,Manor House,637,639,Piccadilly line to Manor House
Finsbury Park,Manor House,643,645,Piccadilly line to Manor House
Finsbury Park,Manor House,648,650,Piccadilly line to Manor House
Finsbury Park,Manor House,653,655,Piccadilly line to Manor House
Finsbury Park,Manor House,658,660,Piccadilly line to Manor House
Finsbury Park,Manor House,702,704,Piccadilly line to Manor House
Finsbury Park,Manor House,706,708,Piccadilly line to Manor House
Finsbury Park,Manor House,710,712,Piccadilly line to Manor House
Finsbury Park,Manor House,714,716,Piccadilly line to Manor House
Finsbury Park,Manor House,717,719,Piccadilly line to Manor House
Finsbury Park,Manor House,721,723,Piccadilly line to Manor House
Finsbury Park,Manor House,724,726,Piccadilly line to Manor House
Finsbury Park,Manor House,727,729,Piccadilly line to Manor House
Finsbury Park,Manor House,730,732,Piccadilly line to Manor House
Finsbury Park,Manor House,732,734,Piccadilly line to Manor House
Finsbury Park,Manor House,735,737,Piccadilly line to Manor House
Finsbury Park,Manor House,737,739,Piccadilly line to Manor House
Finsbury Park,Manor House,740,742,Piccadilly line to Manor House
Finsbury Park,Manor House,742,744,Piccadilly line to Manor House
Finsbury Park,Manor House,745,747,Piccadilly line to Manor House
Finsbury Park,Manor House,747,749,Piccadilly line to Manor House
Finsbury Park,Manor House,750,752,Piccadilly line to Manor House
Finsbury Park,Manor House,752,754,Piccadilly line to Manor House
Finsbury Park,Manor House,755,757,Piccadilly line to Manor House
Finsbury Park,Manor House,757,759,Piccadilly line to Manor House
Finsbury Park,Manor House,800,802,Piccadilly line to Manor House
Finsbury Park,Manor House,802,804,Piccadilly line to Manor House
Finsbury Park,Manor House,805,807,Piccadilly line to Manor House
Finsbury Park,Manor House,807,809,Piccadilly line to Manor House
Finsbury Park,Manor House,810,812,Piccadilly line to Manor House
Finsbury Park,Manor House,812,814,Piccadilly line to Manor House
Finsbury Park,Manor House,815,817,Piccadilly line to Manor House
Finsbury Park,Manor House,817,819,Piccadilly line to Manor House
Finsbury Park,Manor House,820,822,Piccadilly line to Manor House
Finsbury Park,Manor House,823,825,Piccadilly line to Manor House
Finsbury Park,Manor House,825,827,Piccadilly line to Manor House
Finsbury Park,Manor House,828,830,Piccadilly line to Manor House
Finsbury Park,Manor House,831,833,Piccadilly line to Manor House
Finsbury Park,Manor House,833,835,Piccadilly line to Manor House
Finsbury Park,Manor House,836,838,Piccadilly line to Manor House
Finsbury Park,Manor House,838,840,Piccadilly line to Manor House
Finsbury Park,Manor House,841,843,Piccadilly line to Manor House
Finsbury Park,Manor House,843,845,Piccadilly line to Manor House
Finsbury Park,Manor House,846,848,Piccadilly line to Manor House
Finsbury Park,Manor House,848,850,Piccadilly line to Manor House
Finsbury Park,Manor House,851,853,Piccadilly line to Manor House
Finsbury Park,Manor House,853,855,Piccadilly line to Manor House
Finsbury Park,Manor House,856,858,Piccadilly line to Manor House
Finsbury Park,Manor House,858,860,Piccadilly line to Manor House
Finsbury Park,Manor House,901,903,Piccadilly line to Manor House
Finsbury Park,Manor House,904,906,Piccadilly line to Manor House
Finsbury Park,Manor House,906,908,Piccadilly line to Manor House
Finsbury Park,Manor House,909,911,Piccadilly line to Manor House
Finsbury Park,Manor House,911,913,Piccadilly line to Manor House
Finsbury Park,Manor House,914,916,Piccadilly line to Manor House
Finsbury Park,Manor House,916,918,Piccadilly line to Manor House
Finsbury Park,Manor House,919,921,Piccadilly line to Manor House
Finsbury Park,Manor House,921,923,Piccadilly line to Manor House
Finsbury Park,Manor House,924,926,Piccadilly line to Manor House
Finsbury Park,Manor House,926,928,Piccadilly line to Manor House
Finsbury Park,Manor House,929,931,Piccadilly line to Manor House
Finsbury Park,Manor House,931,933,Piccadilly line to Manor House
Finsbury Park,Manor House,933,935,Piccadilly line to Manor House
Finsbury Park,Manor House,936,938,Piccadilly line to Manor House
Finsbury Park,Manor House,938,940,Piccadilly line to Manor House
Finsbury Park,Manor House,941,943,Piccadilly line to Manor House
Finsbury Park,Manor House,943,945,Piccadilly line to Manor House
Finsbury Park,Manor House,946,948,Piccadilly line to Manor House
Finsbury Park,Manor House,948,950,Piccadilly line to Manor House
Finsbury Park,Manor House,950,952,Piccadilly line to Manor House
Finsbury Park,Manor House,953,955,Piccadilly line to Manor House
Finsbury Park,Manor House,955,957,Piccadilly line to Manor House
Finsbury Park,Manor House,958,960,Piccadilly line to Manor House
Finsbury Park,Manor House,1000,1002,Piccadilly line to Manor House
Finsbury Park,Manor House,1003,1005,Piccadilly line to Manor House
Finsbury Park,Manor House,1005,1007,Piccadilly line to Manor House
Finsbury Park,Manor House,1008,1010,Piccadilly line to Manor House
Finsbury Park,Manor House,1010,1012,Piccadilly line to Manor House
Finsbury Park,Manor House,1013,1015,Piccadilly line to Manor House
Finsbury Park,Manor House,1015,1017,Piccadilly line to Manor House
Finsbury Park,Manor House,1018,1020,Piccadilly line to Manor House
Finsbury Park,Manor House,1020,1022,Piccadilly line to Manor House
Finsbury Park,Manor House,1023,1025,Piccadilly line to Manor House
Finsbury Park,Manor House,1025,1027,Piccadilly line to Manor House
Finsbury Park,Manor House,1028,1030,Piccadilly line to Manor House
Finsbury Park,Manor House,1030,1032,Piccadilly line to Manor House
Finsbury Park,Manor House,1033,1035,Piccadilly line to Manor House
Finsbury Park,Manor House,1035,1037,Piccadilly line to Manor House
Finsbury Park,Manor House,1038,1040,Piccadilly line to Manor House
Finsbury Park,Manor House,1040,1042,Piccadilly line to Manor House
Finsbury Park,Manor House,1043,1045,Piccadilly line to Manor House
Finsbury Park,Manor House,1045,1047,Piccadilly line to Manor House
Finsbury Park,Manor House,1048,1050,Piccadilly line to Manor House
Finsbury Park,Manor House,1050,1052,Piccadilly line to Manor House
Finsbury Park,Manor House,1053,1055,Piccadilly line to Manor House
Finsbury Park,Manor House,1056,1058,Piccadilly line to Manor House
Finsbury Park,Manor House,1059,1061,Piccadilly line to Manor House
Finsbury Park,Manor House,1101,1103,Piccadilly line to Manor House
Finsbury Park,Manor House,1104,1106,Piccadilly line to Manor House
Finsbury Park,Manor House,1107,1109,Piccadilly line to Manor House
Finsbury Park,Manor House,1110,1112,Piccadilly line to Manor House
Finsbury Park,Manor House,1113,1115,Piccadilly line to Manor House
Finsbury Park,Manor House,1115,1117,Piccadilly line to Manor House
Finsbury Park,Manor House,1118,1120,Piccadilly line to Manor House
Finsbury Park,Manor House,1120,1122,Piccadilly line to Manor House
Finsbury Park,Manor House,1123,1125,Piccadilly line to Manor House
Finsbury Park,Manor House,1126,1128,Piccadilly line to Manor House
Finsbury Park,Manor House,1128,1130,Piccadilly line to Manor House
