node1,node2,tstart,tend,line
Gloucester Road,Earl's Court,556,557,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,602,603,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,607,608,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,612,613,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,617,618,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,622,623,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,627,628,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,632,633,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,637,638,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,641,642,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,645,646,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,649,650,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,652,653,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,655,656,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,658,659,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,700,701,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,703,704,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,705,706,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,708,709,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,710,711,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,713,714,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,715,716,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,718,719,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,720,721,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,723,724,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,725,726,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,728,729,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,730,731,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,733,734,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,735,736,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,738,739,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,740,741,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,743,744,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,745,746,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,748,749,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,750,751,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,753,754,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,755,756,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,758,759,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,800,801,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,803,804,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,805,806,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,808,809,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,810,811,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,813,814,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,816,817,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,819,820,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,821,822,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,824,825,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,826,827,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,829,830,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,831,832,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,834,835,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,837,838,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,839,840,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,842,843,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,845,846,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,847,848,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,850,851,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,852,853,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,855,856,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,857,858,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,900,901,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,902,903,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,905,906,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,907,908,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,910,911,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,912,913,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,915,916,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,917,918,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,920,921,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,922,923,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,925,926,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,927,928,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,930,931,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,932,933,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,935,936,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,937,938,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,940,941,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,942,943,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,944,945,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,947,948,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,949,950,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,951,952,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,954,955,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,956,957,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,959,960,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1001,1002,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1003,1004,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1006,1007,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1008,1009,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1011,1012,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1013,1014,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1016,1017,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1018,1019,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1021,1022,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1023,1024,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1026,1027,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1028,1029,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1031,1032,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1033,1034,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1036,1037,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1038,1039,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1041,1042,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1043,1044,Piccadilly line to Earl's Court
Gloucester Road,Earl's Court,1046,1047,Piccadilly line to Earl's Court
