node1,node2,tstart,tend,line
Gloucester Road,Knightsbridge,541,545,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,551,555,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,558,562,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,606,610,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,612,616,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,618,622,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,623,627,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,628,632,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,633,637,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,637,641,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,641,645,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,645,649,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,649,653,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,652,656,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,656,660,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,659,663,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,702,706,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,705,709,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,707,711,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,710,714,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,712,716,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,715,719,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,717,721,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,720,724,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,722,726,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,725,729,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,727,731,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,730,734,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,732,736,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,735,739,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,737,741,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,740,744,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,742,746,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,745,749,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,747,751,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,750,754,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,752,756,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,755,759,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,757,761,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,800,804,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,802,806,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,805,809,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,807,811,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,810,814,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,812,816,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,815,819,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,817,821,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,820,824,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,822,826,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,825,829,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,827,831,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,830,834,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,832,836,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,835,839,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,837,841,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,840,844,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,842,846,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,845,849,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,847,851,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,850,854,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,852,856,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,855,859,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,857,861,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,900,904,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,902,906,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,905,909,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,907,911,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,910,914,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,912,916,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,915,919,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,917,921,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,920,924,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,922,926,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,925,929,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,927,931,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,930,934,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,932,936,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,935,939,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,937,941,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,940,944,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,942,946,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,945,949,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,947,951,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,950,954,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,952,956,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,955,959,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,957,961,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1000,1004,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1002,1006,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1005,1009,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1007,1011,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1010,1014,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1012,1016,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1015,1019,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1017,1021,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1020,1024,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1022,1026,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1025,1029,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1027,1031,Piccadilly line to Knightsbridge
Gloucester Road,Knightsbridge,1030,1034,Piccadilly line to Knightsbridge
