node1,node2,tstart,tend,line
Hammersmith (Dist&Picc Line),Barons Court,534,536,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,544,546,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,551,553,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,559,561,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,605,607,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,611,613,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,616,618,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,621,623,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,626,628,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,630,632,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,634,636,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,638,640,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,642,644,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,645,647,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,649,651,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,652,654,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,655,657,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,658,660,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,700,702,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,703,705,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,705,707,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,708,710,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,710,712,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,713,715,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,715,717,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,718,720,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,720,722,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,723,725,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,725,727,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,728,730,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,730,732,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,733,735,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,735,737,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,738,740,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,740,742,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,743,745,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,745,747,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,748,750,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,750,752,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,753,755,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,755,757,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,758,760,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,800,802,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,803,805,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,805,807,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,808,810,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,810,812,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,813,815,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,815,817,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,818,820,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,820,822,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,823,825,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,825,827,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,828,830,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,830,832,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,833,835,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,835,837,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,838,840,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,840,842,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,843,845,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,845,847,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,848,850,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,850,852,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,853,855,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,855,857,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,858,860,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,900,902,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,903,905,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,905,907,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,908,910,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,910,912,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,913,915,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,915,917,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,918,920,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,920,922,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,923,925,Piccadilly line to Barons Court
Hammersmith (Dist&Picc Line),Barons Court,925,927,Piccadilly line to Barons Court
