node1,node2,tstart,tend,line
Heathrow Terminals 2 & 3,Hatton Cross,512,515,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,527,530,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,537,540,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,547,550,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,554,557,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,602,605,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,609,612,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,614,617,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,620,623,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,625,628,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,631,634,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,636,639,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,642,645,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,647,650,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,652,655,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,657,660,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,702,705,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,707,710,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,712,715,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,717,720,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,722,725,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,727,730,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,732,735,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,737,740,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,742,745,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,747,750,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,752,755,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,757,760,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,802,805,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,807,810,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,812,815,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,817,820,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,822,825,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,827,830,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,832,835,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,837,840,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,842,845,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,847,850,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,852,855,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,857,860,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,902,905,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,907,910,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,912,915,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,917,920,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,922,925,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,927,930,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,932,935,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,937,940,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,942,945,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,947,950,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,952,955,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,957,960,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1002,1005,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1007,1010,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1012,1015,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1017,1020,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1023,1026,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1028,1031,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1033,1036,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1038,1041,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1043,1046,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1048,1051,Piccadilly line to Hatton Cross
Heathrow Terminals 2 & 3,Hatton Cross,1053,1056,Piccadilly line to Hatton Cross
