node1,node2,tstart,tend,line
Holborn,Covent Garden,542,544,Piccadilly line to Covent Garden
Holborn,Covent Garden,548,550,Piccadilly line to Covent Garden
Holborn,Covent Garden,553,555,Piccadilly line to Covent Garden
Holborn,Covent Garden,558,560,Piccadilly line to Covent Garden
Holborn,Covent Garden,603,605,Piccadilly line to Covent Garden
Holborn,Covent Garden,608,610,Piccadilly line to Covent Garden
Holborn,Covent Garden,613,615,Piccadilly line to Covent Garden
Holborn,Covent Garden,618,620,Piccadilly line to Covent Garden
Holborn,Covent Garden,623,625,Piccadilly line to Covent Garden
Holborn,Covent Garden,627,629,Piccadilly line to Covent Garden
Holborn,Covent Garden,631,633,Piccadilly line to Covent Garden
Holborn,Covent Garden,635,637,Piccadilly line to Covent Garden
Holborn,Covent Garden,638,640,Piccadilly line to Covent Garden
Holborn,Covent Garden,641,643,Piccadilly line to Covent Garden
Holborn,Covent Garden,644,646,Piccadilly line to Covent Garden
Holborn,Covent Garden,646,648,Piccadilly line to Covent Garden
Holborn,Covent Garden,649,651,Piccadilly line to Covent Garden
Holborn,Covent Garden,651,653,Piccadilly line to Covent Garden
Holborn,Covent Garden,654,656,Piccadilly line to Covent Garden
Holborn,Covent Garden,656,658,Piccadilly line to Covent Garden
Holborn,Covent Garden,659,661,Piccadilly line to Covent Garden
Holborn,Covent Garden,701,703,Piccadilly line to Covent Garden
Holborn,Covent Garden,704,706,Piccadilly line to Covent Garden
Holborn,Covent Garden,706,708,Piccadilly line to Covent Garden
Holborn,Covent Garden,709,711,Piccadilly line to Covent Garden
Holborn,Covent Garden,711,713,Piccadilly line to Covent Garden
Holborn,Covent Garden,714,716,Piccadilly line to Covent Garden
Holborn,Covent Garden,716,718,Piccadilly line to Covent Garden
Holborn,Covent Garden,719,721,Piccadilly line to Covent Garden
Holborn,Covent Garden,721,723,Piccadilly line to Covent Garden
Holborn,Covent Garden,724,726,Piccadilly line to Covent Garden
Holborn,Covent Garden,726,728,Piccadilly line to Covent Garden
Holborn,Covent Garden,729,731,Piccadilly line to Covent Garden
Holborn,Covent Garden,731,733,Piccadilly line to Covent Garden
Holborn,Covent Garden,734,736,Piccadilly line to Covent Garden
Holborn,Covent Garden,736,738,Piccadilly line to Covent Garden
Holborn,Covent Garden,739,741,Piccadilly line to Covent Garden
Holborn,Covent Garden,741,743,Piccadilly line to Covent Garden
Holborn,Covent Garden,744,746,Piccadilly line to Covent Garden
Holborn,Covent Garden,746,748,Piccadilly line to Covent Garden
Holborn,Covent Garden,749,751,Piccadilly line to Covent Garden
Holborn,Covent Garden,751,753,Piccadilly line to Covent Garden
Holborn,Covent Garden,754,756,Piccadilly line to Covent Garden
Holborn,Covent Garden,756,758,Piccadilly line to Covent Garden
Holborn,Covent Garden,759,761,Piccadilly line to Covent Garden
Holborn,Covent Garden,802,804,Piccadilly line to Covent Garden
Holborn,Covent Garden,805,807,Piccadilly line to Covent Garden
Holborn,Covent Garden,807,809,Piccadilly line to Covent Garden
Holborn,Covent Garden,810,812,Piccadilly line to Covent Garden
Holborn,Covent Garden,812,814,Piccadilly line to Covent Garden
Holborn,Covent Garden,815,817,Piccadilly line to Covent Garden
Holborn,Covent Garden,817,819,Piccadilly line to Covent Garden
Holborn,Covent Garden,820,822,Piccadilly line to Covent Garden
Holborn,Covent Garden,823,825,Piccadilly line to Covent Garden
Holborn,Covent Garden,825,827,Piccadilly line to Covent Garden
Holborn,Covent Garden,828,830,Piccadilly line to Covent Garden
Holborn,Covent Garden,831,833,Piccadilly line to Covent Garden
Holborn,Covent Garden,833,835,Piccadilly line to Covent Garden
Holborn,Covent Garden,836,838,Piccadilly line to Covent Garden
Holborn,Covent Garden,838,840,Piccadilly line to Covent Garden
Holborn,Covent Garden,841,843,Piccadilly line to Covent Garden
Holborn,Covent Garden,843,845,Piccadilly line to Covent Garden
Holborn,Covent Garden,846,848,Piccadilly line to Covent Garden
Holborn,Covent Garden,848,850,Piccadilly line to Covent Garden
Holborn,Covent Garden,851,853,Piccadilly line to Covent Garden
Holborn,Covent Garden,853,855,Piccadilly line to Covent Garden
Holborn,Covent Garden,856,858,Piccadilly line to Covent Garden
Holborn,Covent Garden,858,860,Piccadilly line to Covent Garden
Holborn,Covent Garden,901,903,Piccadilly line to Covent Garden
Holborn,Covent Garden,903,905,Piccadilly line to Covent Garden
Holborn,Covent Garden,906,908,Piccadilly line to Covent Garden
Holborn,Covent Garden,908,910,Piccadilly line to Covent Garden
Holborn,Covent Garden,911,913,Piccadilly line to Covent Garden
Holborn,Covent Garden,913,915,Piccadilly line to Covent Garden
Holborn,Covent Garden,916,918,Piccadilly line to Covent Garden
Holborn,Covent Garden,918,920,Piccadilly line to Covent Garden
Holborn,Covent Garden,921,923,Piccadilly line to Covent Garden
Holborn,Covent Garden,923,925,Piccadilly line to Covent Garden
Holborn,Covent Garden,926,928,Piccadilly line to Covent Garden
Holborn,Covent Garden,928,930,Piccadilly line to Covent Garden
