node1,node2,tstart,tend,line
Holborn,Russell Square,554,555,Piccadilly line to Russell Square
Holborn,Russell Square,604,605,Piccadilly line to Russell Square
Holborn,Russell Square,612,613,Piccadilly line to Russell Square
Holborn,Russell Square,619,620,Piccadilly line to Russell Square
Holborn,Russell Square,625,626,Piccadilly line to Russell Square
Holborn,Russell Square,631,632,Piccadilly line to Russell Square
Holborn,Russell Square,637,638,Piccadilly line to Russell Square
Holborn,Russell Square,642,643,Piccadilly line to Russell Square
Holborn,Russell Square,647,648,Piccadilly line to Russell Square
Holborn,Russell Square,651,652,Piccadilly line to Russell Square
Holborn,Russell Square,655,656,Piccadilly line to Russell Square
Holborn,Russell Square,659,660,Piccadilly line to Russell Square
Holborn,Russell Square,702,703,Piccadilly line to Russell Square
Holborn,Russell Square,706,707,Piccadilly line to Russell Square
Holborn,Russell Square,709,710,Piccadilly line to Russell Square
Holborn,Russell Square,712,713,Piccadilly line to Russell Square
Holborn,Russell Square,715,716,Piccadilly line to Russell Square
Holborn,Russell Square,718,719,Piccadilly line to Russell Square
Holborn,Russell Square,721,722,Piccadilly line to Russell Square
Holborn,Russell Square,723,724,Piccadilly line to Russell Square
Holborn,Russell Square,726,727,Piccadilly line to Russell Square
Holborn,Russell Square,728,729,Piccadilly line to Russell Square
Holborn,Russell Square,731,732,Piccadilly line to Russell Square
Holborn,Russell Square,733,734,Piccadilly line to Russell Square
Holborn,Russell Square,736,737,Piccadilly line to Russell Square
Holborn,Russell Square,738,739,Piccadilly line to Russell Square
Holborn,Russell Square,741,742,Piccadilly line to Russell Square
Holborn,Russell Square,743,744,Piccadilly line to Russell Square
Holborn,Russell Square,746,747,Piccadilly line to Russell Square
Holborn,Russell Square,748,749,Piccadilly line to Russell Square
Holborn,Russell Square,751,752,Piccadilly line to Russell Square
Holborn,Russell Square,753,754,Piccadilly line to Russell Square
Holborn,Russell Square,756,757,Piccadilly line to Russell Square
Holborn,Russell Square,758,759,Piccadilly line to Russell Square
Holborn,Russell Square,801,802,Piccadilly line to Russell Square
Holborn,Russell Square,803,804,Piccadilly line to Russell Square
Holborn,Russell Square,806,807,Piccadilly line to Russell Square
Holborn,Russell Square,808,809,Piccadilly line to Russell Square
Holborn,Russell Square,811,812,Piccadilly line to Russell Square
Holborn,Russell Square,814,815,Piccadilly line to Russell Square
Holborn,Russell Square,817,818,Piccadilly line to Russell Square
Holborn,Russell Square,819,820,Piccadilly line to Russell Square
Holborn,Russell Square,822,823,Piccadilly line to Russell Square
Holborn,Russell Square,824,825,Piccadilly line to Russell Square
Holborn,Russell Square,827,828,Piccadilly line to Russell Square
Holborn,Russell Square,829,830,Piccadilly line to Russell Square
Holborn,Russell Square,832,833,Piccadilly line to Russell Square
Holborn,Russell Square,834,835,Piccadilly line to Russell Square
Holborn,Russell Square,837,838,Piccadilly line to Russell Square
Holborn,Russell Square,839,840,Piccadilly line to Russell Square
Holborn,Russell Square,842,843,Piccadilly line to Russell Square
