node1,node2,tstart,tend,line
Hyde Park Corner,Green Park,546,548,Piccadilly line to Green Park
Hyde Park Corner,Green Park,556,558,Piccadilly line to Green Park
Hyde Park Corner,Green Park,604,606,Piccadilly line to Green Park
Hyde Park Corner,Green Park,611,613,Piccadilly line to Green Park
Hyde Park Corner,Green Park,617,619,Piccadilly line to Green Park
Hyde Park Corner,Green Park,623,625,Piccadilly line to Green Park
Hyde Park Corner,Green Park,629,631,Piccadilly line to Green Park
Hyde Park Corner,Green Park,634,636,Piccadilly line to Green Park
Hyde Park Corner,Green Park,639,641,Piccadilly line to Green Park
Hyde Park Corner,Green Park,643,645,Piccadilly line to Green Park
Hyde Park Corner,Green Park,647,649,Piccadilly line to Green Park
Hyde Park Corner,Green Park,651,653,Piccadilly line to Green Park
Hyde Park Corner,Green Park,654,656,Piccadilly line to Green Park
Hyde Park Corner,Green Park,658,660,Piccadilly line to Green Park
Hyde Park Corner,Green Park,701,703,Piccadilly line to Green Park
Hyde Park Corner,Green Park,704,706,Piccadilly line to Green Park
Hyde Park Corner,Green Park,707,709,Piccadilly line to Green Park
Hyde Park Corner,Green Park,710,712,Piccadilly line to Green Park
Hyde Park Corner,Green Park,713,715,Piccadilly line to Green Park
Hyde Park Corner,Green Park,715,717,Piccadilly line to Green Park
Hyde Park Corner,Green Park,718,720,Piccadilly line to Green Park
Hyde Park Corner,Green Park,720,722,Piccadilly line to Green Park
Hyde Park Corner,Green Park,723,725,Piccadilly line to Green Park
Hyde Park Corner,Green Park,725,727,Piccadilly line to Green Park
Hyde Park Corner,Green Park,728,730,Piccadilly line to Green Park
Hyde Park Corner,Green Park,730,732,Piccadilly line to Green Park
Hyde Park Corner,Green Park,733,735,Piccadilly line to Green Park
Hyde Park Corner,Green Park,735,737,Piccadilly line to Green Park
Hyde Park Corner,Green Park,738,740,Piccadilly line to Green Park
Hyde Park Corner,Green Park,740,742,Piccadilly line to Green Park
Hyde Park Corner,Green Park,743,745,Piccadilly line to Green Park
Hyde Park Corner,Green Park,745,747,Piccadilly line to Green Park
Hyde Park Corner,Green Park,748,750,Piccadilly line to Green Park
Hyde Park Corner,Green Park,750,752,Piccadilly line to Green Park
Hyde Park Corner,Green Park,753,755,Piccadilly line to Green Park
Hyde Park Corner,Green Park,755,757,Piccadilly line to Green Park
Hyde Park Corner,Green Park,758,760,Piccadilly line to Green Park
Hyde Park Corner,Green Park,800,802,Piccadilly line to Green Park
Hyde Park Corner,Green Park,803,805,Piccadilly line to Green Park
Hyde Park Corner,Green Park,806,808,Piccadilly line to Green Park
Hyde Park Corner,Green Park,808,810,Piccadilly line to Green Park
Hyde Park Corner,Green Park,811,813,Piccadilly line to Green Park
Hyde Park Corner,Green Park,813,815,Piccadilly line to Green Park
Hyde Park Corner,Green Park,816,818,Piccadilly line to Green Park
Hyde Park Corner,Green Park,818,820,Piccadilly line to Green Park
Hyde Park Corner,Green Park,821,823,Piccadilly line to Green Park
Hyde Park Corner,Green Park,823,825,Piccadilly line to Green Park
Hyde Park Corner,Green Park,826,828,Piccadilly line to Green Park
Hyde Park Corner,Green Park,828,830,Piccadilly line to Green Park
Hyde Park Corner,Green Park,831,833,Piccadilly line to Green Park
Hyde Park Corner,Green Park,833,835,Piccadilly line to Green Park
Hyde Park Corner,Green Park,836,838,Piccadilly line to Green Park
Hyde Park Corner,Green Park,838,840,Piccadilly line to Green Park
Hyde Park Corner,Green Park,841,843,Piccadilly line to Green Park
Hyde Park Corner,Green Park,843,845,Piccadilly line to Green Park
Hyde Park Corner,Green Park,846,848,Piccadilly line to Green Park
Hyde Park Corner,Green Park,848,850,Piccadilly line to Green Park
Hyde Park Corner,Green Park,851,853,Piccadilly line to Green Park
Hyde Park Corner,Green Park,853,855,Piccadilly line to Green Park
Hyde Park Corner,Green Park,856,858,Piccadilly line to Green Park
Hyde Park Corner,Green Park,858,860,Piccadilly line to Green Park
Hyde Park Corner,Green Park,901,903,Piccadilly line to Green Park
Hyde Park Corner,Green Park,903,905,Piccadilly line to Green Park
Hyde Park Corner,Green Park,906,908,Piccadilly line to Green Park
Hyde Park Corner,Green Park,908,910,Piccadilly line to Green Park
Hyde Park Corner,Green Park,910,912,Piccadilly line to Green Park
Hyde Park Corner,Green Park,913,915,Piccadilly line to Green Park
Hyde Park Corner,Green Park,915,917,Piccadilly line to Green Park
Hyde Park Corner,Green Park,918,920,Piccadilly line to Green Park
Hyde Park Corner,Green Park,920,922,Piccadilly line to Green Park
Hyde Park Corner,Green Park,923,925,Piccadilly line to Green Park
Hyde Park Corner,Green Park,925,927,Piccadilly line to Green Park
Hyde Park Corner,Green Park,928,930,Piccadilly line to Green Park
Hyde Park Corner,Green Park,930,932,Piccadilly line to Green Park
Hyde Park Corner,Green Park,933,935,Piccadilly line to Green Park
Hyde Park Corner,Green Park,935,937,Piccadilly line to Green Park
Hyde Park Corner,Green Park,938,940,Piccadilly line to Green Park
Hyde Park Corner,Green Park,940,942,Piccadilly line to Green Park
Hyde Park Corner,Green Park,943,945,Piccadilly line to Green Park
Hyde Park Corner,Green Park,945,947,Piccadilly line to Green Park
Hyde Park Corner,Green Park,948,950,Piccadilly line to Green Park
Hyde Park Corner,Green Park,950,952,Piccadilly line to Green Park
