node1,node2,tstart,tend,line
Manor House,Turnpike Lane,608,611,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,618,621,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,625,628,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,633,636,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,639,642,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,645,648,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,650,653,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,655,658,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,700,703,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,704,707,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,708,711,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,712,715,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,716,719,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,719,722,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,723,726,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,726,729,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,729,732,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,732,735,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,734,737,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,737,740,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,739,742,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,742,745,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,744,747,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,747,750,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,749,752,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,752,755,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,754,757,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,757,760,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,759,762,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,802,805,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,804,807,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,807,810,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,809,812,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,812,815,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,814,817,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,817,820,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,819,822,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,822,825,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,825,828,Piccadilly line to Turnpike Lane
Manor House,Turnpike Lane,827,830,Piccadilly line to Turnpike Lane
