node1,node2,tstart,tend,line
Park Royal,North Ealing,526,528,Piccadilly line to North Ealing
Park Royal,North Ealing,545,547,Piccadilly line to North Ealing
Park Royal,North Ealing,600,602,Piccadilly line to North Ealing
Park Royal,North Ealing,614,616,Piccadilly line to North Ealing
Park Royal,North Ealing,626,628,Piccadilly line to North Ealing
Park Royal,North Ealing,635,637,Piccadilly line to North Ealing
Park Royal,North Ealing,647,649,Piccadilly line to North Ealing
Park Royal,North Ealing,656,658,Piccadilly line to North Ealing
Park Royal,North Ealing,704,706,Piccadilly line to North Ealing
Park Royal,North Ealing,711,713,Piccadilly line to North Ealing
Park Royal,North Ealing,719,721,Piccadilly line to North Ealing
Park Royal,North Ealing,726,728,Piccadilly line to North Ealing
Park Royal,North Ealing,731,733,Piccadilly line to North Ealing
Park Royal,North Ealing,736,738,Piccadilly line to North Ealing
Park Royal,North Ealing,741,743,Piccadilly line to North Ealing
Park Royal,North Ealing,746,748,Piccadilly line to North Ealing
Park Royal,North Ealing,751,753,Piccadilly line to North Ealing
Park Royal,North Ealing,756,758,Piccadilly line to North Ealing
Park Royal,North Ealing,801,803,Piccadilly line to North Ealing
Park Royal,North Ealing,806,808,Piccadilly line to North Ealing
Park Royal,North Ealing,811,813,Piccadilly line to North Ealing
Park Royal,North Ealing,816,818,Piccadilly line to North Ealing
Park Royal,North Ealing,821,823,Piccadilly line to North Ealing
Park Royal,North Ealing,826,828,Piccadilly line to North Ealing
Park Royal,North Ealing,831,833,Piccadilly line to North Ealing
Park Royal,North Ealing,836,838,Piccadilly line to North Ealing
Park Royal,North Ealing,841,843,Piccadilly line to North Ealing
Park Royal,North Ealing,846,848,Piccadilly line to North Ealing
Park Royal,North Ealing,851,853,Piccadilly line to North Ealing
Park Royal,North Ealing,856,858,Piccadilly line to North Ealing
Park Royal,North Ealing,901,903,Piccadilly line to North Ealing
Park Royal,North Ealing,906,908,Piccadilly line to North Ealing
Park Royal,North Ealing,911,913,Piccadilly line to North Ealing
Park Royal,North Ealing,916,918,Piccadilly line to North Ealing
Park Royal,North Ealing,921,923,Piccadilly line to North Ealing
Park Royal,North Ealing,926,928,Piccadilly line to North Ealing
Park Royal,North Ealing,931,933,Piccadilly line to North Ealing
Park Royal,North Ealing,939,941,Piccadilly line to North Ealing
Park Royal,North Ealing,946,948,Piccadilly line to North Ealing
Park Royal,North Ealing,954,956,Piccadilly line to North Ealing
