node1,node2,tstart,tend,line
Piccadilly Circus,Leicester Square,550,551,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,600,601,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,608,609,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,615,616,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,621,622,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,627,628,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,633,634,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,638,639,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,643,644,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,647,648,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,651,652,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,655,656,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,658,659,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,702,703,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,705,706,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,708,709,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,711,712,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,714,715,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,717,718,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,719,720,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,722,723,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,724,725,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,727,728,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,729,730,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,732,733,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,734,735,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,737,738,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,739,740,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,742,743,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,744,745,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,747,748,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,749,750,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,752,753,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,754,755,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,757,758,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,759,760,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,802,803,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,804,805,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,807,808,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,810,811,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,812,813,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,815,816,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,817,818,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,820,821,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,822,823,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,825,826,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,827,828,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,830,831,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,832,833,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,835,836,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,837,838,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,840,841,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,842,843,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,845,846,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,847,848,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,850,851,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,852,853,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,855,856,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,857,858,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,900,901,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,902,903,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,905,906,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,907,908,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,910,911,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,912,913,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,914,915,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,917,918,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,919,920,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,922,923,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,924,925,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,927,928,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,929,930,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,932,933,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,934,935,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,937,938,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,939,940,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,942,943,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,944,945,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,947,948,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,949,950,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,952,953,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,954,955,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,957,958,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,959,960,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1002,1003,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1004,1005,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1007,1008,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1009,1010,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1012,1013,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1014,1015,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1017,1018,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1019,1020,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1022,1023,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1024,1025,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1027,1028,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1029,1030,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1032,1033,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1034,1035,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1037,1038,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1040,1041,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1043,1044,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1045,1046,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1048,1049,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1051,1052,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1054,1055,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1057,1058,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1059,1060,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1102,1103,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1104,1105,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1107,1108,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1110,1111,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1112,1113,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1115,1116,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1117,1118,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1120,1121,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1123,1124,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1126,1127,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1129,1130,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1132,1133,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1135,1136,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1137,1138,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1140,1141,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1143,1144,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1146,1147,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1149,1150,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1152,1153,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1155,1156,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1157,1158,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1200,1201,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1203,1204,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1206,1207,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1209,1210,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1212,1213,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1215,1216,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1217,1218,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1220,1221,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1223,1224,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1226,1227,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1229,1230,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1232,1233,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1235,1236,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1237,1238,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1240,1241,Piccadilly line to Leicester Square
Piccadilly Circus,Leicester Square,1243,1244,Piccadilly line to Leicester Square
