node1,node2,tstart,tend,line
Rayners Lane,South Harrow,532,536,Piccadilly line to South Harrow
Rayners Lane,South Harrow,545,549,Piccadilly line to South Harrow
Rayners Lane,South Harrow,558,562,Piccadilly line to South Harrow
Rayners Lane,South Harrow,611,615,Piccadilly line to South Harrow
Rayners Lane,South Harrow,620,624,Piccadilly line to South Harrow
Rayners Lane,South Harrow,634,638,Piccadilly line to South Harrow
Rayners Lane,South Harrow,640,644,Piccadilly line to South Harrow
Rayners Lane,South Harrow,650,654,Piccadilly line to South Harrow
Rayners Lane,South Harrow,657,661,Piccadilly line to South Harrow
Rayners Lane,South Harrow,703,707,Piccadilly line to South Harrow
Rayners Lane,South Harrow,713,717,Piccadilly line to South Harrow
Rayners Lane,South Harrow,718,722,Piccadilly line to South Harrow
Rayners Lane,South Harrow,723,727,Piccadilly line to South Harrow
Rayners Lane,South Harrow,728,732,Piccadilly line to South Harrow
Rayners Lane,South Harrow,733,737,Piccadilly line to South Harrow
Rayners Lane,South Harrow,738,742,Piccadilly line to South Harrow
Rayners Lane,South Harrow,742,746,Piccadilly line to South Harrow
Rayners Lane,South Harrow,748,752,Piccadilly line to South Harrow
Rayners Lane,South Harrow,753,757,Piccadilly line to South Harrow
Rayners Lane,South Harrow,758,762,Piccadilly line to South Harrow
Rayners Lane,South Harrow,801,805,Piccadilly line to South Harrow
Rayners Lane,South Harrow,806,810,Piccadilly line to South Harrow
Rayners Lane,South Harrow,813,817,Piccadilly line to South Harrow
Rayners Lane,South Harrow,816,820,Piccadilly line to South Harrow
Rayners Lane,South Harrow,821,825,Piccadilly line to South Harrow
Rayners Lane,South Harrow,827,831,Piccadilly line to South Harrow
Rayners Lane,South Harrow,832,836,Piccadilly line to South Harrow
Rayners Lane,South Harrow,838,842,Piccadilly line to South Harrow
Rayners Lane,South Harrow,843,847,Piccadilly line to South Harrow
Rayners Lane,South Harrow,847,851,Piccadilly line to South Harrow
Rayners Lane,South Harrow,852,856,Piccadilly line to South Harrow
Rayners Lane,South Harrow,855,859,Piccadilly line to South Harrow
