node1,node2,tstart,tend,line
Ruislip,Ruislip Manor,525,526,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,628,629,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,643,644,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,656,657,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,705,706,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,715,716,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,726,727,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,731,732,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,740,741,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,746,747,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,752,753,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,759,760,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,806,807,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,814,815,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,825,826,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,831,832,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,838,839,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,845,846,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,852,853,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,858,859,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,912,913,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,925,926,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,941,942,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,956,957,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1014,1015,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1032,1033,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1050,1051,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1112,1113,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1133,1134,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1150,1151,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1204,1205,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1212,1213,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1233,1234,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1250,1251,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1312,1313,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1333,1334,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1350,1351,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1412,1413,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1433,1434,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1450,1451,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1512,1513,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1533,1534,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1550,1551,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1612,1613,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1633,1634,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1650,1651,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1711,1712,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1732,1733,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1747,1748,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1802,1803,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1816,1817,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1823,1824,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1830,1831,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1840,1841,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1847,1848,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1853,1854,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1904,1905,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1910,1911,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1918,1919,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1925,1926,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1932,1933,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1943,1944,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,1953,1954,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2011,2012,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2026,2027,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2041,2042,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2053,2054,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2112,2113,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2132,2133,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2153,2154,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2212,2213,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2233,2234,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2250,2251,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2312,2313,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2332,2333,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2352,2353,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2418,2419,Piccadilly line to Ruislip Manor
Ruislip,Ruislip Manor,2433,2434,Piccadilly line to Ruislip Manor
