node1,node2,tstart,tend,line
Sudbury Town,Alperton,521,523,Piccadilly line to Alperton
Sudbury Town,Alperton,540,542,Piccadilly line to Alperton
Sudbury Town,Alperton,555,557,Piccadilly line to Alperton
Sudbury Town,Alperton,609,611,Piccadilly line to Alperton
Sudbury Town,Alperton,621,623,Piccadilly line to Alperton
Sudbury Town,Alperton,630,632,Piccadilly line to Alperton
Sudbury Town,Alperton,642,644,Piccadilly line to Alperton
Sudbury Town,Alperton,651,653,Piccadilly line to Alperton
Sudbury Town,Alperton,659,661,Piccadilly line to Alperton
Sudbury Town,Alperton,706,708,Piccadilly line to Alperton
Sudbury Town,Alperton,714,716,Piccadilly line to Alperton
Sudbury Town,Alperton,721,723,Piccadilly line to Alperton
Sudbury Town,Alperton,726,728,Piccadilly line to Alperton
Sudbury Town,Alperton,731,733,Piccadilly line to Alperton
Sudbury Town,Alperton,736,738,Piccadilly line to Alperton
Sudbury Town,Alperton,741,743,Piccadilly line to Alperton
Sudbury Town,Alperton,746,748,Piccadilly line to Alperton
Sudbury Town,Alperton,751,753,Piccadilly line to Alperton
Sudbury Town,Alperton,756,758,Piccadilly line to Alperton
Sudbury Town,Alperton,801,803,Piccadilly line to Alperton
Sudbury Town,Alperton,806,808,Piccadilly line to Alperton
Sudbury Town,Alperton,811,813,Piccadilly line to Alperton
Sudbury Town,Alperton,816,818,Piccadilly line to Alperton
Sudbury Town,Alperton,821,823,Piccadilly line to Alperton
Sudbury Town,Alperton,826,828,Piccadilly line to Alperton
Sudbury Town,Alperton,831,833,Piccadilly line to Alperton
Sudbury Town,Alperton,836,838,Piccadilly line to Alperton
Sudbury Town,Alperton,841,843,Piccadilly line to Alperton
Sudbury Town,Alperton,846,848,Piccadilly line to Alperton
Sudbury Town,Alperton,851,853,Piccadilly line to Alperton
Sudbury Town,Alperton,856,858,Piccadilly line to Alperton
Sudbury Town,Alperton,901,903,Piccadilly line to Alperton
Sudbury Town,Alperton,906,908,Piccadilly line to Alperton
Sudbury Town,Alperton,911,913,Piccadilly line to Alperton
Sudbury Town,Alperton,916,918,Piccadilly line to Alperton
Sudbury Town,Alperton,921,923,Piccadilly line to Alperton
Sudbury Town,Alperton,926,928,Piccadilly line to Alperton
Sudbury Town,Alperton,934,936,Piccadilly line to Alperton
Sudbury Town,Alperton,941,943,Piccadilly line to Alperton
Sudbury Town,Alperton,949,951,Piccadilly line to Alperton
Sudbury Town,Alperton,956,958,Piccadilly line to Alperton
Sudbury Town,Alperton,1004,1006,Piccadilly line to Alperton
Sudbury Town,Alperton,1013,1015,Piccadilly line to Alperton
Sudbury Town,Alperton,1020,1022,Piccadilly line to Alperton
Sudbury Town,Alperton,1029,1031,Piccadilly line to Alperton
Sudbury Town,Alperton,1037,1039,Piccadilly line to Alperton
Sudbury Town,Alperton,1047,1049,Piccadilly line to Alperton
Sudbury Town,Alperton,1057,1059,Piccadilly line to Alperton
Sudbury Town,Alperton,1107,1109,Piccadilly line to Alperton
Sudbury Town,Alperton,1117,1119,Piccadilly line to Alperton
Sudbury Town,Alperton,1127,1129,Piccadilly line to Alperton
Sudbury Town,Alperton,1137,1139,Piccadilly line to Alperton
Sudbury Town,Alperton,1147,1149,Piccadilly line to Alperton
Sudbury Town,Alperton,1156,1158,Piccadilly line to Alperton
Sudbury Town,Alperton,1207,1209,Piccadilly line to Alperton
Sudbury Town,Alperton,1217,1219,Piccadilly line to Alperton
Sudbury Town,Alperton,1222,1224,Piccadilly line to Alperton
Sudbury Town,Alperton,1227,1229,Piccadilly line to Alperton
Sudbury Town,Alperton,1237,1239,Piccadilly line to Alperton
Sudbury Town,Alperton,1247,1249,Piccadilly line to Alperton
Sudbury Town,Alperton,1257,1259,Piccadilly line to Alperton
Sudbury Town,Alperton,1307,1309,Piccadilly line to Alperton
Sudbury Town,Alperton,1317,1319,Piccadilly line to Alperton
Sudbury Town,Alperton,1327,1329,Piccadilly line to Alperton
Sudbury Town,Alperton,1337,1339,Piccadilly line to Alperton
Sudbury Town,Alperton,1347,1349,Piccadilly line to Alperton
Sudbury Town,Alperton,1357,1359,Piccadilly line to Alperton
Sudbury Town,Alperton,1407,1409,Piccadilly line to Alperton
Sudbury Town,Alperton,1417,1419,Piccadilly line to Alperton
Sudbury Town,Alperton,1427,1429,Piccadilly line to Alperton
Sudbury Town,Alperton,1437,1439,Piccadilly line to Alperton
Sudbury Town,Alperton,1447,1449,Piccadilly line to Alperton
Sudbury Town,Alperton,1457,1459,Piccadilly line to Alperton
Sudbury Town,Alperton,1507,1509,Piccadilly line to Alperton
Sudbury Town,Alperton,1517,1519,Piccadilly line to Alperton
Sudbury Town,Alperton,1527,1529,Piccadilly line to Alperton
Sudbury Town,Alperton,1537,1539,Piccadilly line to Alperton
Sudbury Town,Alperton,1547,1549,Piccadilly line to Alperton
Sudbury Town,Alperton,1557,1559,Piccadilly line to Alperton
Sudbury Town,Alperton,1607,1609,Piccadilly line to Alperton
Sudbury Town,Alperton,1617,1619,Piccadilly line to Alperton
Sudbury Town,Alperton,1627,1629,Piccadilly line to Alperton
Sudbury Town,Alperton,1637,1639,Piccadilly line to Alperton
Sudbury Town,Alperton,1647,1649,Piccadilly line to Alperton
Sudbury Town,Alperton,1657,1659,Piccadilly line to Alperton
Sudbury Town,Alperton,1707,1709,Piccadilly line to Alperton
Sudbury Town,Alperton,1717,1719,Piccadilly line to Alperton
Sudbury Town,Alperton,1727,1729,Piccadilly line to Alperton
Sudbury Town,Alperton,1732,1734,Piccadilly line to Alperton
Sudbury Town,Alperton,1742,1744,Piccadilly line to Alperton
Sudbury Town,Alperton,1747,1749,Piccadilly line to Alperton
Sudbury Town,Alperton,1757,1759,Piccadilly line to Alperton
Sudbury Town,Alperton,1802,1804,Piccadilly line to Alperton
Sudbury Town,Alperton,1810,1812,Piccadilly line to Alperton
Sudbury Town,Alperton,1817,1819,Piccadilly line to Alperton
Sudbury Town,Alperton,1827,1829,Piccadilly line to Alperton
Sudbury Town,Alperton,1832,1834,Piccadilly line to Alperton
Sudbury Town,Alperton,1837,1839,Piccadilly line to Alperton
Sudbury Town,Alperton,1842,1844,Piccadilly line to Alperton
Sudbury Town,Alperton,1847,1849,Piccadilly line to Alperton
Sudbury Town,Alperton,1852,1854,Piccadilly line to Alperton
Sudbury Town,Alperton,1857,1859,Piccadilly line to Alperton
Sudbury Town,Alperton,1902,1904,Piccadilly line to Alperton
Sudbury Town,Alperton,1910,1912,Piccadilly line to Alperton
Sudbury Town,Alperton,1915,1917,Piccadilly line to Alperton
Sudbury Town,Alperton,1920,1922,Piccadilly line to Alperton
Sudbury Town,Alperton,1925,1927,Piccadilly line to Alperton
Sudbury Town,Alperton,1930,1932,Piccadilly line to Alperton
Sudbury Town,Alperton,1937,1939,Piccadilly line to Alperton
Sudbury Town,Alperton,1945,1947,Piccadilly line to Alperton
Sudbury Town,Alperton,1950,1952,Piccadilly line to Alperton
Sudbury Town,Alperton,2000,2002,Piccadilly line to Alperton
Sudbury Town,Alperton,2005,2007,Piccadilly line to Alperton
Sudbury Town,Alperton,2010,2012,Piccadilly line to Alperton
Sudbury Town,Alperton,2020,2022,Piccadilly line to Alperton
Sudbury Town,Alperton,2028,2030,Piccadilly line to Alperton
Sudbury Town,Alperton,2037,2039,Piccadilly line to Alperton
Sudbury Town,Alperton,2045,2047,Piccadilly line to Alperton
Sudbury Town,Alperton,2054,2056,Piccadilly line to Alperton
Sudbury Town,Alperton,2100,2102,Piccadilly line to Alperton
Sudbury Town,Alperton,2107,2109,Piccadilly line to Alperton
Sudbury Town,Alperton,2117,2119,Piccadilly line to Alperton
Sudbury Town,Alperton,2127,2129,Piccadilly line to Alperton
Sudbury Town,Alperton,2137,2139,Piccadilly line to Alperton
Sudbury Town,Alperton,2147,2149,Piccadilly line to Alperton
Sudbury Town,Alperton,2157,2159,Piccadilly line to Alperton
Sudbury Town,Alperton,2207,2209,Piccadilly line to Alperton
Sudbury Town,Alperton,2217,2219,Piccadilly line to Alperton
Sudbury Town,Alperton,2227,2229,Piccadilly line to Alperton
Sudbury Town,Alperton,2237,2239,Piccadilly line to Alperton
Sudbury Town,Alperton,2247,2249,Piccadilly line to Alperton
Sudbury Town,Alperton,2257,2259,Piccadilly line to Alperton
Sudbury Town,Alperton,2307,2309,Piccadilly line to Alperton
Sudbury Town,Alperton,2317,2319,Piccadilly line to Alperton
Sudbury Town,Alperton,2327,2329,Piccadilly line to Alperton
Sudbury Town,Alperton,2337,2339,Piccadilly line to Alperton
Sudbury Town,Alperton,2347,2349,Piccadilly line to Alperton
Sudbury Town,Alperton,2357,2359,Piccadilly line to Alperton
Sudbury Town,Alperton,2407,2409,Piccadilly line to Alperton
Sudbury Town,Alperton,2417,2419,Piccadilly line to Alperton
Sudbury Town,Alperton,2433,2435,Piccadilly line to Alperton
Sudbury Town,Alperton,2447,2449,Piccadilly line to Alperton
Sudbury Town,Alperton,2500,2502,Piccadilly line to Alperton
