node1,node2,tstart,tend,line
Turnpike Lane,Wood Green,611,613,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,621,623,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,629,631,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,636,638,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,642,644,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,648,650,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,654,656,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,659,661,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,704,706,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,708,710,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,712,714,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,716,718,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,719,721,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,723,725,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,726,728,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,729,731,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,732,734,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,735,737,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,738,740,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,740,742,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,743,745,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,745,747,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,748,750,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,750,752,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,753,755,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,755,757,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,758,760,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,800,802,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,803,805,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,805,807,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,808,810,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,810,812,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,813,815,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,815,817,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,818,820,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,820,822,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,823,825,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,825,827,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,828,830,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,831,833,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,834,836,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,836,838,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,839,841,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,841,843,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,844,846,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,846,848,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,849,851,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,851,853,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,854,856,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,856,858,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,859,861,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,901,903,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,904,906,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,907,909,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,909,911,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,912,914,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,914,916,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,917,919,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,919,921,Piccadilly line to Wood Green
Turnpike Lane,Wood Green,922,924,Piccadilly line to Wood Green
