node1,node2,tstart,tend,line
Uxbridge,Hillingdon,518,520,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,621,623,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,636,638,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,649,651,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,658,660,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,708,710,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,719,721,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,724,726,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,733,735,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,739,741,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,745,747,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,752,754,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,759,761,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,807,809,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,818,820,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,824,826,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,831,833,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,838,840,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,845,847,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,851,853,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,905,907,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,918,920,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,934,936,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,949,951,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1007,1009,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1025,1027,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1043,1045,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1105,1107,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1126,1128,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1143,1145,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1205,1207,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1226,1228,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1243,1245,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1305,1307,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1326,1328,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1343,1345,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1405,1407,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1426,1428,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1443,1445,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1505,1507,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1526,1528,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1543,1545,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1605,1607,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1626,1628,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1643,1645,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1704,1706,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1725,1727,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1740,1742,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1755,1757,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1809,1811,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1816,1818,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1823,1825,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1833,1835,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1840,1842,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1846,1848,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1857,1859,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1903,1905,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1911,1913,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1918,1920,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1925,1927,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1936,1938,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,1946,1948,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2004,2006,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2019,2021,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2034,2036,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2046,2048,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2105,2107,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2125,2127,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2146,2148,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2205,2207,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2226,2228,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2243,2245,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2305,2307,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2325,2327,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2345,2347,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2411,2413,Piccadilly line to Hillingdon
Uxbridge,Hillingdon,2426,2428,Piccadilly line to Hillingdon
