node1,node2,tstart,tend,line
Blackhorse Road,Tottenham Hale,527,528,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,527,528,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,539,540,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,539,540,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,550,551,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,558,559,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,606,607,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,613,614,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,619,620,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,624,625,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,629,630,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,633,634,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,637,638,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,641,642,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,645,646,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,648,649,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,651,652,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,654,655,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,656,657,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,659,660,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,701,702,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,704,705,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,706,707,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,709,710,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,711,712,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,714,715,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,716,717,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,718,719,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,720,721,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,722,723,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,725,726,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,727,728,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,729,730,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,731,732,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,733,734,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,735,736,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,738,739,Victoria line to Tottenham Hale
