node1,node2,tstart,tend,line
Finsbury Park,Seven Sisters,547,550,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,547,550,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,557,560,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,557,560,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,605,608,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,611,614,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,611,614,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,616,619,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,620,623,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,624,627,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,628,631,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,632,635,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,635,638,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,638,641,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,641,644,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,644,647,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,647,650,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,650,653,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,652,655,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,655,658,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,657,660,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,659,662,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,702,705,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,704,707,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,706,709,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,708,711,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,711,714,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,713,716,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,715,718,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,717,720,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,720,723,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,722,725,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,724,727,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,727,730,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,729,732,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,731,734,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,733,736,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,735,738,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,737,740,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,739,742,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,741,744,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,743,746,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,744,747,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,746,749,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,748,751,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,749,752,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,751,754,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,753,756,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,754,757,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,756,759,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,758,761,Victoria line to Seven Sisters
