node1,node2,tstart,tend,line
Green Park,Victoria,536,538,Victoria line to Victoria
Green Park,Victoria,541,543,Victoria line to Victoria
Green Park,Victoria,546,548,Victoria line to Victoria
Green Park,Victoria,546,548,Victoria line to Victoria
Green Park,Victoria,551,553,Victoria line to Victoria
Green Park,Victoria,555,557,Victoria line to Victoria
Green Park,Victoria,559,561,Victoria line to Victoria
Green Park,Victoria,559,561,Victoria line to Victoria
Green Park,Victoria,602,604,Victoria line to Victoria
Green Park,Victoria,606,608,Victoria line to Victoria
Green Park,Victoria,609,611,Victoria line to Victoria
Green Park,Victoria,612,614,Victoria line to Victoria
Green Park,Victoria,615,617,Victoria line to Victoria
Green Park,Victoria,618,620,Victoria line to Victoria
Green Park,Victoria,620,622,Victoria line to Victoria
Green Park,Victoria,623,625,Victoria line to Victoria
Green Park,Victoria,625,627,Victoria line to Victoria
Green Park,Victoria,628,630,Victoria line to Victoria
Green Park,Victoria,630,632,Victoria line to Victoria
Green Park,Victoria,632,634,Victoria line to Victoria
Green Park,Victoria,635,637,Victoria line to Victoria
Green Park,Victoria,637,639,Victoria line to Victoria
Green Park,Victoria,639,641,Victoria line to Victoria
Green Park,Victoria,641,643,Victoria line to Victoria
Green Park,Victoria,644,646,Victoria line to Victoria
Green Park,Victoria,646,648,Victoria line to Victoria
Green Park,Victoria,648,650,Victoria line to Victoria
Green Park,Victoria,650,652,Victoria line to Victoria
Green Park,Victoria,652,654,Victoria line to Victoria
Green Park,Victoria,655,657,Victoria line to Victoria
Green Park,Victoria,657,659,Victoria line to Victoria
Green Park,Victoria,659,661,Victoria line to Victoria
Green Park,Victoria,701,703,Victoria line to Victoria
Green Park,Victoria,703,705,Victoria line to Victoria
Green Park,Victoria,705,707,Victoria line to Victoria
Green Park,Victoria,706,708,Victoria line to Victoria
Green Park,Victoria,708,710,Victoria line to Victoria
Green Park,Victoria,710,712,Victoria line to Victoria
Green Park,Victoria,711,713,Victoria line to Victoria
Green Park,Victoria,713,715,Victoria line to Victoria
Green Park,Victoria,715,717,Victoria line to Victoria
Green Park,Victoria,717,719,Victoria line to Victoria
Green Park,Victoria,718,720,Victoria line to Victoria
Green Park,Victoria,720,722,Victoria line to Victoria
Green Park,Victoria,722,724,Victoria line to Victoria
Green Park,Victoria,723,725,Victoria line to Victoria
Green Park,Victoria,725,727,Victoria line to Victoria
Green Park,Victoria,727,729,Victoria line to Victoria
Green Park,Victoria,728,730,Victoria line to Victoria
Green Park,Victoria,730,732,Victoria line to Victoria
Green Park,Victoria,732,734,Victoria line to Victoria
Green Park,Victoria,733,735,Victoria line to Victoria
Green Park,Victoria,735,737,Victoria line to Victoria
Green Park,Victoria,737,739,Victoria line to Victoria
Green Park,Victoria,738,740,Victoria line to Victoria
Green Park,Victoria,740,742,Victoria line to Victoria
Green Park,Victoria,742,744,Victoria line to Victoria
Green Park,Victoria,743,745,Victoria line to Victoria
Green Park,Victoria,745,747,Victoria line to Victoria
Green Park,Victoria,747,749,Victoria line to Victoria
Green Park,Victoria,748,750,Victoria line to Victoria
Green Park,Victoria,750,752,Victoria line to Victoria
Green Park,Victoria,752,754,Victoria line to Victoria
Green Park,Victoria,753,755,Victoria line to Victoria
Green Park,Victoria,755,757,Victoria line to Victoria
Green Park,Victoria,757,759,Victoria line to Victoria
Green Park,Victoria,758,760,Victoria line to Victoria
Green Park,Victoria,800,802,Victoria line to Victoria
Green Park,Victoria,802,804,Victoria line to Victoria
Green Park,Victoria,803,805,Victoria line to Victoria
Green Park,Victoria,805,807,Victoria line to Victoria
Green Park,Victoria,807,809,Victoria line to Victoria
Green Park,Victoria,808,810,Victoria line to Victoria
Green Park,Victoria,810,812,Victoria line to Victoria
Green Park,Victoria,812,814,Victoria line to Victoria
Green Park,Victoria,813,815,Victoria line to Victoria
Green Park,Victoria,815,817,Victoria line to Victoria
Green Park,Victoria,817,819,Victoria line to Victoria
Green Park,Victoria,818,820,Victoria line to Victoria
Green Park,Victoria,820,822,Victoria line to Victoria
Green Park,Victoria,822,824,Victoria line to Victoria
Green Park,Victoria,823,825,Victoria line to Victoria
Green Park,Victoria,825,827,Victoria line to Victoria
Green Park,Victoria,827,829,Victoria line to Victoria
Green Park,Victoria,828,830,Victoria line to Victoria
Green Park,Victoria,830,832,Victoria line to Victoria
Green Park,Victoria,832,834,Victoria line to Victoria
Green Park,Victoria,833,835,Victoria line to Victoria
Green Park,Victoria,835,837,Victoria line to Victoria
Green Park,Victoria,837,839,Victoria line to Victoria
Green Park,Victoria,838,840,Victoria line to Victoria
Green Park,Victoria,840,842,Victoria line to Victoria
Green Park,Victoria,842,844,Victoria line to Victoria
Green Park,Victoria,843,845,Victoria line to Victoria
Green Park,Victoria,845,847,Victoria line to Victoria
Green Park,Victoria,847,849,Victoria line to Victoria
Green Park,Victoria,848,850,Victoria line to Victoria
Green Park,Victoria,850,852,Victoria line to Victoria
