node1,node2,tstart,tend,line
Pimlico,Victoria,532,534,Victoria line to Victoria
Pimlico,Victoria,532,534,Victoria line to Victoria
Pimlico,Victoria,542,544,Victoria line to Victoria
Pimlico,Victoria,542,544,Victoria line to Victoria
Pimlico,Victoria,552,554,Victoria line to Victoria
Pimlico,Victoria,552,554,Victoria line to Victoria
Pimlico,Victoria,558,560,Victoria line to Victoria
Pimlico,Victoria,605,607,Victoria line to Victoria
Pimlico,Victoria,609,611,Victoria line to Victoria
Pimlico,Victoria,612,614,Victoria line to Victoria
Pimlico,Victoria,616,618,Victoria line to Victoria
Pimlico,Victoria,619,621,Victoria line to Victoria
Pimlico,Victoria,623,625,Victoria line to Victoria
Pimlico,Victoria,626,628,Victoria line to Victoria
Pimlico,Victoria,628,630,Victoria line to Victoria
Pimlico,Victoria,631,633,Victoria line to Victoria
Pimlico,Victoria,634,636,Victoria line to Victoria
Pimlico,Victoria,636,638,Victoria line to Victoria
Pimlico,Victoria,639,641,Victoria line to Victoria
Pimlico,Victoria,641,643,Victoria line to Victoria
Pimlico,Victoria,644,646,Victoria line to Victoria
Pimlico,Victoria,646,648,Victoria line to Victoria
Pimlico,Victoria,648,650,Victoria line to Victoria
Pimlico,Victoria,650,652,Victoria line to Victoria
Pimlico,Victoria,653,655,Victoria line to Victoria
Pimlico,Victoria,655,657,Victoria line to Victoria
Pimlico,Victoria,657,659,Victoria line to Victoria
Pimlico,Victoria,659,661,Victoria line to Victoria
Pimlico,Victoria,702,704,Victoria line to Victoria
Pimlico,Victoria,704,706,Victoria line to Victoria
Pimlico,Victoria,706,708,Victoria line to Victoria
Pimlico,Victoria,709,711,Victoria line to Victoria
Pimlico,Victoria,711,713,Victoria line to Victoria
Pimlico,Victoria,713,715,Victoria line to Victoria
Pimlico,Victoria,715,717,Victoria line to Victoria
Pimlico,Victoria,717,719,Victoria line to Victoria
Pimlico,Victoria,719,721,Victoria line to Victoria
Pimlico,Victoria,721,723,Victoria line to Victoria
Pimlico,Victoria,723,725,Victoria line to Victoria
Pimlico,Victoria,724,726,Victoria line to Victoria
Pimlico,Victoria,726,728,Victoria line to Victoria
Pimlico,Victoria,728,730,Victoria line to Victoria
Pimlico,Victoria,729,731,Victoria line to Victoria
Pimlico,Victoria,731,733,Victoria line to Victoria
Pimlico,Victoria,733,735,Victoria line to Victoria
Pimlico,Victoria,734,736,Victoria line to Victoria
