node1,node2,tstart,tend,line
Seven Sisters,Finsbury Park,521,524,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,526,529,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,531,534,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,531,534,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,536,539,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,540,543,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,544,547,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,544,547,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,547,550,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,551,554,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,554,557,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,557,560,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,600,603,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,603,606,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,605,608,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,608,611,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,610,613,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,613,616,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,615,618,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,617,620,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,620,623,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,622,625,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,624,627,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,626,629,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,629,632,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,631,634,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,633,636,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,635,638,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,637,640,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,639,642,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,641,644,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,643,646,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,645,648,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,647,650,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,648,651,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,650,653,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,652,655,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,653,656,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,655,658,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,657,660,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,658,661,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,700,703,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,702,705,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,703,706,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,705,708,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,707,710,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,708,711,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,710,713,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,712,715,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,713,716,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,715,718,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,717,720,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,718,721,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,720,723,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,722,725,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,723,726,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,725,728,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,727,730,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,728,731,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,730,733,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,732,735,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,733,736,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,735,738,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,737,740,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,738,741,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,740,743,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,742,745,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,743,746,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,745,748,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,747,750,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,748,751,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,750,753,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,752,755,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,753,756,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,755,758,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,757,760,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,758,761,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,800,803,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,802,805,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,803,806,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,805,808,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,807,810,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,808,811,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,810,813,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,812,815,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,813,816,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,815,818,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,817,820,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,818,821,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,820,823,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,822,825,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,823,826,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,825,828,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,827,830,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,828,831,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,830,833,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,832,835,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,833,836,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,835,838,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,837,840,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,838,841,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,840,843,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,842,845,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,843,846,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,845,848,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,847,850,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,848,851,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,850,853,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,852,855,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,853,856,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,855,858,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,857,860,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,858,861,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,900,903,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,902,905,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,903,906,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,905,908,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,907,910,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,908,911,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,910,913,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,912,915,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,913,916,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,915,918,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,917,920,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,918,921,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,920,923,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,922,925,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,923,926,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,925,928,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,927,930,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,928,931,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,930,933,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,932,935,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,933,936,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,935,938,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,937,940,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,938,941,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,940,943,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,942,945,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,943,946,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,945,948,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,947,950,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,948,951,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,950,953,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,952,955,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,954,957,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,956,959,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,958,961,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1000,1003,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1002,1005,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1004,1007,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1006,1009,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1008,1011,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1010,1013,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1012,1015,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1015,1018,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1017,1020,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1019,1022,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1021,1024,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1024,1027,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1026,1029,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1028,1031,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1030,1033,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1033,1036,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,1035,1038,Victoria line to Finsbury Park
