node1,node2,tstart,tend,line
Victoria,Pimlico,538,539,Victoria line to Pimlico
Victoria,Pimlico,543,544,Victoria line to Pimlico
Victoria,Pimlico,548,549,Victoria line to Pimlico
Victoria,Pimlico,548,549,Victoria line to Pimlico
Victoria,Pimlico,553,554,Victoria line to Pimlico
Victoria,Pimlico,557,558,Victoria line to Pimlico
Victoria,Pimlico,601,602,Victoria line to Pimlico
Victoria,Pimlico,601,602,Victoria line to Pimlico
Victoria,Pimlico,604,605,Victoria line to Pimlico
Victoria,Pimlico,608,609,Victoria line to Pimlico
Victoria,Pimlico,611,612,Victoria line to Pimlico
Victoria,Pimlico,614,615,Victoria line to Pimlico
Victoria,Pimlico,617,618,Victoria line to Pimlico
Victoria,Pimlico,620,621,Victoria line to Pimlico
Victoria,Pimlico,622,623,Victoria line to Pimlico
Victoria,Pimlico,625,626,Victoria line to Pimlico
Victoria,Pimlico,627,628,Victoria line to Pimlico
Victoria,Pimlico,630,631,Victoria line to Pimlico
Victoria,Pimlico,632,633,Victoria line to Pimlico
Victoria,Pimlico,634,635,Victoria line to Pimlico
Victoria,Pimlico,637,638,Victoria line to Pimlico
Victoria,Pimlico,639,640,Victoria line to Pimlico
Victoria,Pimlico,641,642,Victoria line to Pimlico
Victoria,Pimlico,643,644,Victoria line to Pimlico
Victoria,Pimlico,646,647,Victoria line to Pimlico
Victoria,Pimlico,648,649,Victoria line to Pimlico
Victoria,Pimlico,650,651,Victoria line to Pimlico
Victoria,Pimlico,652,653,Victoria line to Pimlico
Victoria,Pimlico,654,655,Victoria line to Pimlico
Victoria,Pimlico,656,657,Victoria line to Pimlico
Victoria,Pimlico,659,660,Victoria line to Pimlico
Victoria,Pimlico,701,702,Victoria line to Pimlico
Victoria,Pimlico,703,704,Victoria line to Pimlico
Victoria,Pimlico,705,706,Victoria line to Pimlico
Victoria,Pimlico,707,708,Victoria line to Pimlico
Victoria,Pimlico,708,709,Victoria line to Pimlico
Victoria,Pimlico,710,711,Victoria line to Pimlico
Victoria,Pimlico,712,713,Victoria line to Pimlico
Victoria,Pimlico,714,715,Victoria line to Pimlico
Victoria,Pimlico,715,716,Victoria line to Pimlico
Victoria,Pimlico,717,718,Victoria line to Pimlico
Victoria,Pimlico,719,720,Victoria line to Pimlico
Victoria,Pimlico,720,721,Victoria line to Pimlico
Victoria,Pimlico,722,723,Victoria line to Pimlico
Victoria,Pimlico,724,725,Victoria line to Pimlico
Victoria,Pimlico,725,726,Victoria line to Pimlico
Victoria,Pimlico,727,728,Victoria line to Pimlico
Victoria,Pimlico,729,730,Victoria line to Pimlico
Victoria,Pimlico,730,731,Victoria line to Pimlico
Victoria,Pimlico,732,733,Victoria line to Pimlico
Victoria,Pimlico,734,735,Victoria line to Pimlico
Victoria,Pimlico,735,736,Victoria line to Pimlico
Victoria,Pimlico,737,738,Victoria line to Pimlico
Victoria,Pimlico,739,740,Victoria line to Pimlico
Victoria,Pimlico,740,741,Victoria line to Pimlico
Victoria,Pimlico,742,743,Victoria line to Pimlico
Victoria,Pimlico,744,745,Victoria line to Pimlico
Victoria,Pimlico,745,746,Victoria line to Pimlico
Victoria,Pimlico,747,748,Victoria line to Pimlico
Victoria,Pimlico,749,750,Victoria line to Pimlico
Victoria,Pimlico,750,751,Victoria line to Pimlico
Victoria,Pimlico,752,753,Victoria line to Pimlico
Victoria,Pimlico,754,755,Victoria line to Pimlico
Victoria,Pimlico,755,756,Victoria line to Pimlico
Victoria,Pimlico,757,758,Victoria line to Pimlico
Victoria,Pimlico,759,760,Victoria line to Pimlico
Victoria,Pimlico,800,801,Victoria line to Pimlico
Victoria,Pimlico,802,803,Victoria line to Pimlico
Victoria,Pimlico,804,805,Victoria line to Pimlico
Victoria,Pimlico,805,806,Victoria line to Pimlico
Victoria,Pimlico,807,808,Victoria line to Pimlico
Victoria,Pimlico,809,810,Victoria line to Pimlico
Victoria,Pimlico,810,811,Victoria line to Pimlico
Victoria,Pimlico,812,813,Victoria line to Pimlico
Victoria,Pimlico,814,815,Victoria line to Pimlico
Victoria,Pimlico,815,816,Victoria line to Pimlico
Victoria,Pimlico,817,818,Victoria line to Pimlico
Victoria,Pimlico,819,820,Victoria line to Pimlico
Victoria,Pimlico,820,821,Victoria line to Pimlico
Victoria,Pimlico,822,823,Victoria line to Pimlico
Victoria,Pimlico,824,825,Victoria line to Pimlico
Victoria,Pimlico,825,826,Victoria line to Pimlico
Victoria,Pimlico,827,828,Victoria line to Pimlico
Victoria,Pimlico,829,830,Victoria line to Pimlico
Victoria,Pimlico,830,831,Victoria line to Pimlico
Victoria,Pimlico,832,833,Victoria line to Pimlico
Victoria,Pimlico,834,835,Victoria line to Pimlico
Victoria,Pimlico,835,836,Victoria line to Pimlico
Victoria,Pimlico,837,838,Victoria line to Pimlico
Victoria,Pimlico,839,840,Victoria line to Pimlico
Victoria,Pimlico,840,841,Victoria line to Pimlico
Victoria,Pimlico,842,843,Victoria line to Pimlico
Victoria,Pimlico,844,845,Victoria line to Pimlico
Victoria,Pimlico,845,846,Victoria line to Pimlico
Victoria,Pimlico,847,848,Victoria line to Pimlico
Victoria,Pimlico,849,850,Victoria line to Pimlico
Victoria,Pimlico,850,851,Victoria line to Pimlico
Victoria,Pimlico,852,853,Victoria line to Pimlico
Victoria,Pimlico,854,855,Victoria line to Pimlico
Victoria,Pimlico,855,856,Victoria line to Pimlico
Victoria,Pimlico,857,858,Victoria line to Pimlico
Victoria,Pimlico,859,860,Victoria line to Pimlico
Victoria,Pimlico,900,901,Victoria line to Pimlico
Victoria,Pimlico,902,903,Victoria line to Pimlico
Victoria,Pimlico,904,905,Victoria line to Pimlico
Victoria,Pimlico,905,906,Victoria line to Pimlico
Victoria,Pimlico,907,908,Victoria line to Pimlico
Victoria,Pimlico,909,910,Victoria line to Pimlico
Victoria,Pimlico,910,911,Victoria line to Pimlico
Victoria,Pimlico,912,913,Victoria line to Pimlico
Victoria,Pimlico,914,915,Victoria line to Pimlico
Victoria,Pimlico,915,916,Victoria line to Pimlico
Victoria,Pimlico,917,918,Victoria line to Pimlico
Victoria,Pimlico,919,920,Victoria line to Pimlico
Victoria,Pimlico,920,921,Victoria line to Pimlico
Victoria,Pimlico,922,923,Victoria line to Pimlico
Victoria,Pimlico,924,925,Victoria line to Pimlico
Victoria,Pimlico,925,926,Victoria line to Pimlico
Victoria,Pimlico,927,928,Victoria line to Pimlico
Victoria,Pimlico,929,930,Victoria line to Pimlico
Victoria,Pimlico,930,931,Victoria line to Pimlico
Victoria,Pimlico,932,933,Victoria line to Pimlico
Victoria,Pimlico,934,935,Victoria line to Pimlico
Victoria,Pimlico,935,936,Victoria line to Pimlico
Victoria,Pimlico,937,938,Victoria line to Pimlico
Victoria,Pimlico,939,940,Victoria line to Pimlico
Victoria,Pimlico,940,941,Victoria line to Pimlico
Victoria,Pimlico,942,943,Victoria line to Pimlico
Victoria,Pimlico,944,945,Victoria line to Pimlico
Victoria,Pimlico,945,946,Victoria line to Pimlico
Victoria,Pimlico,947,948,Victoria line to Pimlico
Victoria,Pimlico,949,950,Victoria line to Pimlico
Victoria,Pimlico,950,951,Victoria line to Pimlico
Victoria,Pimlico,952,953,Victoria line to Pimlico
Victoria,Pimlico,954,955,Victoria line to Pimlico
Victoria,Pimlico,955,956,Victoria line to Pimlico
Victoria,Pimlico,957,958,Victoria line to Pimlico
Victoria,Pimlico,959,960,Victoria line to Pimlico
Victoria,Pimlico,1000,1001,Victoria line to Pimlico
Victoria,Pimlico,1002,1003,Victoria line to Pimlico
Victoria,Pimlico,1004,1005,Victoria line to Pimlico
Victoria,Pimlico,1005,1006,Victoria line to Pimlico
Victoria,Pimlico,1007,1008,Victoria line to Pimlico
Victoria,Pimlico,1009,1010,Victoria line to Pimlico
Victoria,Pimlico,1010,1011,Victoria line to Pimlico
Victoria,Pimlico,1012,1013,Victoria line to Pimlico
Victoria,Pimlico,1014,1015,Victoria line to Pimlico
Victoria,Pimlico,1016,1017,Victoria line to Pimlico
Victoria,Pimlico,1017,1018,Victoria line to Pimlico
Victoria,Pimlico,1019,1020,Victoria line to Pimlico
Victoria,Pimlico,1021,1022,Victoria line to Pimlico
Victoria,Pimlico,1023,1024,Victoria line to Pimlico
Victoria,Pimlico,1025,1026,Victoria line to Pimlico
Victoria,Pimlico,1028,1029,Victoria line to Pimlico
Victoria,Pimlico,1030,1031,Victoria line to Pimlico
Victoria,Pimlico,1032,1033,Victoria line to Pimlico
Victoria,Pimlico,1034,1035,Victoria line to Pimlico
Victoria,Pimlico,1036,1037,Victoria line to Pimlico
Victoria,Pimlico,1039,1040,Victoria line to Pimlico
Victoria,Pimlico,1041,1042,Victoria line to Pimlico
Victoria,Pimlico,1043,1044,Victoria line to Pimlico
Victoria,Pimlico,1045,1046,Victoria line to Pimlico
Victoria,Pimlico,1048,1049,Victoria line to Pimlico
Victoria,Pimlico,1050,1051,Victoria line to Pimlico
Victoria,Pimlico,1052,1053,Victoria line to Pimlico
Victoria,Pimlico,1054,1055,Victoria line to Pimlico
Victoria,Pimlico,1057,1058,Victoria line to Pimlico
Victoria,Pimlico,1059,1060,Victoria line to Pimlico
Victoria,Pimlico,1101,1102,Victoria line to Pimlico
Victoria,Pimlico,1103,1104,Victoria line to Pimlico
Victoria,Pimlico,1106,1107,Victoria line to Pimlico
Victoria,Pimlico,1108,1109,Victoria line to Pimlico
Victoria,Pimlico,1110,1111,Victoria line to Pimlico
Victoria,Pimlico,1112,1113,Victoria line to Pimlico
Victoria,Pimlico,1115,1116,Victoria line to Pimlico
Victoria,Pimlico,1117,1118,Victoria line to Pimlico
Victoria,Pimlico,1119,1120,Victoria line to Pimlico
Victoria,Pimlico,1121,1122,Victoria line to Pimlico
Victoria,Pimlico,1124,1125,Victoria line to Pimlico
Victoria,Pimlico,1126,1127,Victoria line to Pimlico
Victoria,Pimlico,1128,1129,Victoria line to Pimlico
Victoria,Pimlico,1130,1131,Victoria line to Pimlico
Victoria,Pimlico,1133,1134,Victoria line to Pimlico
Victoria,Pimlico,1135,1136,Victoria line to Pimlico
Victoria,Pimlico,1137,1138,Victoria line to Pimlico
Victoria,Pimlico,1139,1140,Victoria line to Pimlico
Victoria,Pimlico,1142,1143,Victoria line to Pimlico
Victoria,Pimlico,1144,1145,Victoria line to Pimlico
Victoria,Pimlico,1146,1147,Victoria line to Pimlico
Victoria,Pimlico,1148,1149,Victoria line to Pimlico
Victoria,Pimlico,1151,1152,Victoria line to Pimlico
Victoria,Pimlico,1153,1154,Victoria line to Pimlico
Victoria,Pimlico,1155,1156,Victoria line to Pimlico
Victoria,Pimlico,1157,1158,Victoria line to Pimlico
Victoria,Pimlico,1200,1201,Victoria line to Pimlico
Victoria,Pimlico,1202,1203,Victoria line to Pimlico
Victoria,Pimlico,1204,1205,Victoria line to Pimlico
Victoria,Pimlico,1206,1207,Victoria line to Pimlico
Victoria,Pimlico,1209,1210,Victoria line to Pimlico
Victoria,Pimlico,1211,1212,Victoria line to Pimlico
Victoria,Pimlico,1213,1214,Victoria line to Pimlico
Victoria,Pimlico,1215,1216,Victoria line to Pimlico
Victoria,Pimlico,1218,1219,Victoria line to Pimlico
Victoria,Pimlico,1220,1221,Victoria line to Pimlico
Victoria,Pimlico,1222,1223,Victoria line to Pimlico
Victoria,Pimlico,1224,1225,Victoria line to Pimlico
Victoria,Pimlico,1227,1228,Victoria line to Pimlico
Victoria,Pimlico,1229,1230,Victoria line to Pimlico
Victoria,Pimlico,1231,1232,Victoria line to Pimlico
Victoria,Pimlico,1233,1234,Victoria line to Pimlico
Victoria,Pimlico,1236,1237,Victoria line to Pimlico
Victoria,Pimlico,1238,1239,Victoria line to Pimlico
Victoria,Pimlico,1240,1241,Victoria line to Pimlico
Victoria,Pimlico,1242,1243,Victoria line to Pimlico
Victoria,Pimlico,1245,1246,Victoria line to Pimlico
Victoria,Pimlico,1247,1248,Victoria line to Pimlico
Victoria,Pimlico,1249,1250,Victoria line to Pimlico
Victoria,Pimlico,1251,1252,Victoria line to Pimlico
Victoria,Pimlico,1253,1254,Victoria line to Pimlico
Victoria,Pimlico,1256,1257,Victoria line to Pimlico
Victoria,Pimlico,1258,1259,Victoria line to Pimlico
Victoria,Pimlico,1300,1301,Victoria line to Pimlico
Victoria,Pimlico,1303,1304,Victoria line to Pimlico
Victoria,Pimlico,1305,1306,Victoria line to Pimlico
Victoria,Pimlico,1307,1308,Victoria line to Pimlico
Victoria,Pimlico,1309,1310,Victoria line to Pimlico
Victoria,Pimlico,1312,1313,Victoria line to Pimlico
Victoria,Pimlico,1314,1315,Victoria line to Pimlico
Victoria,Pimlico,1316,1317,Victoria line to Pimlico
Victoria,Pimlico,1318,1319,Victoria line to Pimlico
Victoria,Pimlico,1321,1322,Victoria line to Pimlico
Victoria,Pimlico,1323,1324,Victoria line to Pimlico
Victoria,Pimlico,1325,1326,Victoria line to Pimlico
Victoria,Pimlico,1327,1328,Victoria line to Pimlico
Victoria,Pimlico,1330,1331,Victoria line to Pimlico
Victoria,Pimlico,1332,1333,Victoria line to Pimlico
Victoria,Pimlico,1334,1335,Victoria line to Pimlico
Victoria,Pimlico,1336,1337,Victoria line to Pimlico
Victoria,Pimlico,1339,1340,Victoria line to Pimlico
Victoria,Pimlico,1341,1342,Victoria line to Pimlico
Victoria,Pimlico,1343,1344,Victoria line to Pimlico
