node1,node2,tstart,tend,line
Victoria,Green Park,534,535,Victoria line to Green Park
Victoria,Green Park,534,535,Victoria line to Green Park
Victoria,Green Park,544,545,Victoria line to Green Park
Victoria,Green Park,544,545,Victoria line to Green Park
Victoria,Green Park,551,552,Victoria line to Green Park
Victoria,Green Park,557,558,Victoria line to Green Park
Victoria,Green Park,557,558,Victoria line to Green Park
Victoria,Green Park,602,603,Victoria line to Green Park
Victoria,Green Park,607,608,Victoria line to Green Park
Victoria,Green Park,611,612,Victoria line to Green Park
Victoria,Green Park,614,615,Victoria line to Green Park
Victoria,Green Park,618,619,Victoria line to Green Park
Victoria,Green Park,621,622,Victoria line to Green Park
Victoria,Green Park,625,626,Victoria line to Green Park
Victoria,Green Park,628,629,Victoria line to Green Park
Victoria,Green Park,630,631,Victoria line to Green Park
Victoria,Green Park,633,634,Victoria line to Green Park
Victoria,Green Park,636,637,Victoria line to Green Park
Victoria,Green Park,638,639,Victoria line to Green Park
Victoria,Green Park,641,642,Victoria line to Green Park
Victoria,Green Park,643,644,Victoria line to Green Park
Victoria,Green Park,646,647,Victoria line to Green Park
Victoria,Green Park,648,649,Victoria line to Green Park
Victoria,Green Park,650,651,Victoria line to Green Park
Victoria,Green Park,652,653,Victoria line to Green Park
Victoria,Green Park,655,656,Victoria line to Green Park
Victoria,Green Park,657,658,Victoria line to Green Park
Victoria,Green Park,659,660,Victoria line to Green Park
Victoria,Green Park,701,702,Victoria line to Green Park
Victoria,Green Park,704,705,Victoria line to Green Park
Victoria,Green Park,706,707,Victoria line to Green Park
Victoria,Green Park,708,709,Victoria line to Green Park
Victoria,Green Park,711,712,Victoria line to Green Park
Victoria,Green Park,713,714,Victoria line to Green Park
Victoria,Green Park,715,716,Victoria line to Green Park
Victoria,Green Park,717,718,Victoria line to Green Park
Victoria,Green Park,719,720,Victoria line to Green Park
Victoria,Green Park,721,722,Victoria line to Green Park
Victoria,Green Park,723,724,Victoria line to Green Park
Victoria,Green Park,725,726,Victoria line to Green Park
Victoria,Green Park,727,728,Victoria line to Green Park
Victoria,Green Park,728,729,Victoria line to Green Park
Victoria,Green Park,730,731,Victoria line to Green Park
Victoria,Green Park,732,733,Victoria line to Green Park
Victoria,Green Park,733,734,Victoria line to Green Park
Victoria,Green Park,735,736,Victoria line to Green Park
Victoria,Green Park,737,738,Victoria line to Green Park
Victoria,Green Park,738,739,Victoria line to Green Park
Victoria,Green Park,740,741,Victoria line to Green Park
Victoria,Green Park,742,743,Victoria line to Green Park
Victoria,Green Park,743,744,Victoria line to Green Park
Victoria,Green Park,745,746,Victoria line to Green Park
Victoria,Green Park,747,748,Victoria line to Green Park
Victoria,Green Park,748,749,Victoria line to Green Park
Victoria,Green Park,750,751,Victoria line to Green Park
Victoria,Green Park,752,753,Victoria line to Green Park
Victoria,Green Park,753,754,Victoria line to Green Park
Victoria,Green Park,755,756,Victoria line to Green Park
Victoria,Green Park,757,758,Victoria line to Green Park
Victoria,Green Park,758,759,Victoria line to Green Park
Victoria,Green Park,800,801,Victoria line to Green Park
Victoria,Green Park,802,803,Victoria line to Green Park
Victoria,Green Park,803,804,Victoria line to Green Park
Victoria,Green Park,805,806,Victoria line to Green Park
Victoria,Green Park,807,808,Victoria line to Green Park
Victoria,Green Park,808,809,Victoria line to Green Park
Victoria,Green Park,810,811,Victoria line to Green Park
Victoria,Green Park,812,813,Victoria line to Green Park
Victoria,Green Park,813,814,Victoria line to Green Park
Victoria,Green Park,815,816,Victoria line to Green Park
Victoria,Green Park,817,818,Victoria line to Green Park
Victoria,Green Park,818,819,Victoria line to Green Park
Victoria,Green Park,820,821,Victoria line to Green Park
Victoria,Green Park,822,823,Victoria line to Green Park
Victoria,Green Park,823,824,Victoria line to Green Park
Victoria,Green Park,825,826,Victoria line to Green Park
Victoria,Green Park,827,828,Victoria line to Green Park
Victoria,Green Park,828,829,Victoria line to Green Park
Victoria,Green Park,830,831,Victoria line to Green Park
Victoria,Green Park,832,833,Victoria line to Green Park
Victoria,Green Park,833,834,Victoria line to Green Park
Victoria,Green Park,835,836,Victoria line to Green Park
Victoria,Green Park,837,838,Victoria line to Green Park
Victoria,Green Park,838,839,Victoria line to Green Park
Victoria,Green Park,840,841,Victoria line to Green Park
Victoria,Green Park,842,843,Victoria line to Green Park
Victoria,Green Park,843,844,Victoria line to Green Park
Victoria,Green Park,845,846,Victoria line to Green Park
Victoria,Green Park,847,848,Victoria line to Green Park
Victoria,Green Park,848,849,Victoria line to Green Park
Victoria,Green Park,850,851,Victoria line to Green Park
Victoria,Green Park,852,853,Victoria line to Green Park
Victoria,Green Park,853,854,Victoria line to Green Park
Victoria,Green Park,855,856,Victoria line to Green Park
Victoria,Green Park,857,858,Victoria line to Green Park
Victoria,Green Park,858,859,Victoria line to Green Park
Victoria,Green Park,900,901,Victoria line to Green Park
Victoria,Green Park,902,903,Victoria line to Green Park
Victoria,Green Park,903,904,Victoria line to Green Park
Victoria,Green Park,905,906,Victoria line to Green Park
Victoria,Green Park,907,908,Victoria line to Green Park
Victoria,Green Park,908,909,Victoria line to Green Park
Victoria,Green Park,910,911,Victoria line to Green Park
Victoria,Green Park,912,913,Victoria line to Green Park
Victoria,Green Park,913,914,Victoria line to Green Park
Victoria,Green Park,915,916,Victoria line to Green Park
Victoria,Green Park,917,918,Victoria line to Green Park
Victoria,Green Park,918,919,Victoria line to Green Park
Victoria,Green Park,920,921,Victoria line to Green Park
Victoria,Green Park,922,923,Victoria line to Green Park
Victoria,Green Park,923,924,Victoria line to Green Park
Victoria,Green Park,925,926,Victoria line to Green Park
Victoria,Green Park,927,928,Victoria line to Green Park
Victoria,Green Park,928,929,Victoria line to Green Park
Victoria,Green Park,930,931,Victoria line to Green Park
Victoria,Green Park,932,933,Victoria line to Green Park
Victoria,Green Park,933,934,Victoria line to Green Park
Victoria,Green Park,935,936,Victoria line to Green Park
Victoria,Green Park,937,938,Victoria line to Green Park
Victoria,Green Park,938,939,Victoria line to Green Park
Victoria,Green Park,940,941,Victoria line to Green Park
Victoria,Green Park,942,943,Victoria line to Green Park
Victoria,Green Park,943,944,Victoria line to Green Park
Victoria,Green Park,945,946,Victoria line to Green Park
Victoria,Green Park,947,948,Victoria line to Green Park
Victoria,Green Park,948,949,Victoria line to Green Park
Victoria,Green Park,950,951,Victoria line to Green Park
Victoria,Green Park,952,953,Victoria line to Green Park
Victoria,Green Park,953,954,Victoria line to Green Park
Victoria,Green Park,955,956,Victoria line to Green Park
Victoria,Green Park,957,958,Victoria line to Green Park
Victoria,Green Park,958,959,Victoria line to Green Park
Victoria,Green Park,1000,1001,Victoria line to Green Park
Victoria,Green Park,1002,1003,Victoria line to Green Park
Victoria,Green Park,1003,1004,Victoria line to Green Park
Victoria,Green Park,1005,1006,Victoria line to Green Park
Victoria,Green Park,1007,1008,Victoria line to Green Park
Victoria,Green Park,1008,1009,Victoria line to Green Park
Victoria,Green Park,1010,1011,Victoria line to Green Park
Victoria,Green Park,1012,1013,Victoria line to Green Park
Victoria,Green Park,1013,1014,Victoria line to Green Park
Victoria,Green Park,1015,1016,Victoria line to Green Park
Victoria,Green Park,1017,1018,Victoria line to Green Park
Victoria,Green Park,1018,1019,Victoria line to Green Park
Victoria,Green Park,1020,1021,Victoria line to Green Park
Victoria,Green Park,1022,1023,Victoria line to Green Park
Victoria,Green Park,1023,1024,Victoria line to Green Park
Victoria,Green Park,1025,1026,Victoria line to Green Park
Victoria,Green Park,1027,1028,Victoria line to Green Park
Victoria,Green Park,1029,1030,Victoria line to Green Park
Victoria,Green Park,1030,1031,Victoria line to Green Park
Victoria,Green Park,1032,1033,Victoria line to Green Park
Victoria,Green Park,1034,1035,Victoria line to Green Park
Victoria,Green Park,1036,1037,Victoria line to Green Park
Victoria,Green Park,1038,1039,Victoria line to Green Park
Victoria,Green Park,1039,1040,Victoria line to Green Park
Victoria,Green Park,1041,1042,Victoria line to Green Park
Victoria,Green Park,1043,1044,Victoria line to Green Park
Victoria,Green Park,1045,1046,Victoria line to Green Park
Victoria,Green Park,1048,1049,Victoria line to Green Park
Victoria,Green Park,1050,1051,Victoria line to Green Park
Victoria,Green Park,1052,1053,Victoria line to Green Park
Victoria,Green Park,1054,1055,Victoria line to Green Park
Victoria,Green Park,1056,1057,Victoria line to Green Park
Victoria,Green Park,1059,1060,Victoria line to Green Park
Victoria,Green Park,1101,1102,Victoria line to Green Park
Victoria,Green Park,1103,1104,Victoria line to Green Park
Victoria,Green Park,1105,1106,Victoria line to Green Park
Victoria,Green Park,1108,1109,Victoria line to Green Park
Victoria,Green Park,1110,1111,Victoria line to Green Park
Victoria,Green Park,1112,1113,Victoria line to Green Park
Victoria,Green Park,1114,1115,Victoria line to Green Park
Victoria,Green Park,1117,1118,Victoria line to Green Park
Victoria,Green Park,1119,1120,Victoria line to Green Park
Victoria,Green Park,1121,1122,Victoria line to Green Park
Victoria,Green Park,1123,1124,Victoria line to Green Park
Victoria,Green Park,1126,1127,Victoria line to Green Park
Victoria,Green Park,1128,1129,Victoria line to Green Park
Victoria,Green Park,1130,1131,Victoria line to Green Park
Victoria,Green Park,1132,1133,Victoria line to Green Park
Victoria,Green Park,1135,1136,Victoria line to Green Park
Victoria,Green Park,1137,1138,Victoria line to Green Park
Victoria,Green Park,1139,1140,Victoria line to Green Park
Victoria,Green Park,1141,1142,Victoria line to Green Park
Victoria,Green Park,1144,1145,Victoria line to Green Park
Victoria,Green Park,1146,1147,Victoria line to Green Park
Victoria,Green Park,1148,1149,Victoria line to Green Park
Victoria,Green Park,1150,1151,Victoria line to Green Park
Victoria,Green Park,1153,1154,Victoria line to Green Park
Victoria,Green Park,1155,1156,Victoria line to Green Park
Victoria,Green Park,1157,1158,Victoria line to Green Park
Victoria,Green Park,1159,1160,Victoria line to Green Park
Victoria,Green Park,1202,1203,Victoria line to Green Park
Victoria,Green Park,1204,1205,Victoria line to Green Park
Victoria,Green Park,1206,1207,Victoria line to Green Park
Victoria,Green Park,1208,1209,Victoria line to Green Park
Victoria,Green Park,1211,1212,Victoria line to Green Park
Victoria,Green Park,1213,1214,Victoria line to Green Park
Victoria,Green Park,1215,1216,Victoria line to Green Park
Victoria,Green Park,1217,1218,Victoria line to Green Park
Victoria,Green Park,1220,1221,Victoria line to Green Park
Victoria,Green Park,1222,1223,Victoria line to Green Park
Victoria,Green Park,1224,1225,Victoria line to Green Park
Victoria,Green Park,1226,1227,Victoria line to Green Park
Victoria,Green Park,1229,1230,Victoria line to Green Park
Victoria,Green Park,1231,1232,Victoria line to Green Park
Victoria,Green Park,1233,1234,Victoria line to Green Park
Victoria,Green Park,1235,1236,Victoria line to Green Park
Victoria,Green Park,1238,1239,Victoria line to Green Park
Victoria,Green Park,1240,1241,Victoria line to Green Park
Victoria,Green Park,1242,1243,Victoria line to Green Park
Victoria,Green Park,1244,1245,Victoria line to Green Park
Victoria,Green Park,1247,1248,Victoria line to Green Park
Victoria,Green Park,1249,1250,Victoria line to Green Park
Victoria,Green Park,1251,1252,Victoria line to Green Park
Victoria,Green Park,1253,1254,Victoria line to Green Park
Victoria,Green Park,1256,1257,Victoria line to Green Park
Victoria,Green Park,1258,1259,Victoria line to Green Park
Victoria,Green Park,1300,1301,Victoria line to Green Park
Victoria,Green Park,1302,1303,Victoria line to Green Park
Victoria,Green Park,1304,1305,Victoria line to Green Park
Victoria,Green Park,1306,1307,Victoria line to Green Park
Victoria,Green Park,1310,1311,Victoria line to Green Park
Victoria,Green Park,1312,1313,Victoria line to Green Park
Victoria,Green Park,1314,1315,Victoria line to Green Park
Victoria,Green Park,1316,1317,Victoria line to Green Park
Victoria,Green Park,1318,1319,Victoria line to Green Park
Victoria,Green Park,1320,1321,Victoria line to Green Park
Victoria,Green Park,1323,1324,Victoria line to Green Park
Victoria,Green Park,1325,1326,Victoria line to Green Park
Victoria,Green Park,1327,1328,Victoria line to Green Park
Victoria,Green Park,1329,1330,Victoria line to Green Park
Victoria,Green Park,1332,1333,Victoria line to Green Park
Victoria,Green Park,1334,1335,Victoria line to Green Park
Victoria,Green Park,1336,1337,Victoria line to Green Park
Victoria,Green Park,1338,1339,Victoria line to Green Park
Victoria,Green Park,1341,1342,Victoria line to Green Park
Victoria,Green Park,1343,1344,Victoria line to Green Park
Victoria,Green Park,1345,1346,Victoria line to Green Park
Victoria,Green Park,1347,1348,Victoria line to Green Park
Victoria,Green Park,1350,1351,Victoria line to Green Park
Victoria,Green Park,1352,1353,Victoria line to Green Park
Victoria,Green Park,1354,1355,Victoria line to Green Park
Victoria,Green Park,1356,1357,Victoria line to Green Park
Victoria,Green Park,1359,1360,Victoria line to Green Park
Victoria,Green Park,1401,1402,Victoria line to Green Park
Victoria,Green Park,1403,1404,Victoria line to Green Park
Victoria,Green Park,1405,1406,Victoria line to Green Park
Victoria,Green Park,1408,1409,Victoria line to Green Park
Victoria,Green Park,1410,1411,Victoria line to Green Park
Victoria,Green Park,1412,1413,Victoria line to Green Park
Victoria,Green Park,1414,1415,Victoria line to Green Park
Victoria,Green Park,1417,1418,Victoria line to Green Park
Victoria,Green Park,1419,1420,Victoria line to Green Park
Victoria,Green Park,1421,1422,Victoria line to Green Park
Victoria,Green Park,1423,1424,Victoria line to Green Park
Victoria,Green Park,1426,1427,Victoria line to Green Park
Victoria,Green Park,1428,1429,Victoria line to Green Park
Victoria,Green Park,1430,1431,Victoria line to Green Park
Victoria,Green Park,1432,1433,Victoria line to Green Park
Victoria,Green Park,1434,1435,Victoria line to Green Park
Victoria,Green Park,1436,1437,Victoria line to Green Park
Victoria,Green Park,1440,1441,Victoria line to Green Park
Victoria,Green Park,1442,1443,Victoria line to Green Park
Victoria,Green Park,1444,1445,Victoria line to Green Park
Victoria,Green Park,1446,1447,Victoria line to Green Park
Victoria,Green Park,1448,1449,Victoria line to Green Park
Victoria,Green Park,1450,1451,Victoria line to Green Park
Victoria,Green Park,1453,1454,Victoria line to Green Park
Victoria,Green Park,1455,1456,Victoria line to Green Park
Victoria,Green Park,1457,1458,Victoria line to Green Park
Victoria,Green Park,1459,1460,Victoria line to Green Park
Victoria,Green Park,1502,1503,Victoria line to Green Park
Victoria,Green Park,1504,1505,Victoria line to Green Park
Victoria,Green Park,1506,1507,Victoria line to Green Park
Victoria,Green Park,1508,1509,Victoria line to Green Park
Victoria,Green Park,1511,1512,Victoria line to Green Park
Victoria,Green Park,1513,1514,Victoria line to Green Park
Victoria,Green Park,1515,1516,Victoria line to Green Park
Victoria,Green Park,1517,1518,Victoria line to Green Park
Victoria,Green Park,1520,1521,Victoria line to Green Park
Victoria,Green Park,1522,1523,Victoria line to Green Park
Victoria,Green Park,1524,1525,Victoria line to Green Park
Victoria,Green Park,1526,1527,Victoria line to Green Park
Victoria,Green Park,1529,1530,Victoria line to Green Park
Victoria,Green Park,1531,1532,Victoria line to Green Park
Victoria,Green Park,1533,1534,Victoria line to Green Park
Victoria,Green Park,1535,1536,Victoria line to Green Park
Victoria,Green Park,1537,1538,Victoria line to Green Park
Victoria,Green Park,1539,1540,Victoria line to Green Park
Victoria,Green Park,1541,1542,Victoria line to Green Park
Victoria,Green Park,1543,1544,Victoria line to Green Park
Victoria,Green Park,1545,1546,Victoria line to Green Park
Victoria,Green Park,1547,1548,Victoria line to Green Park
Victoria,Green Park,1549,1550,Victoria line to Green Park
Victoria,Green Park,1551,1552,Victoria line to Green Park
Victoria,Green Park,1553,1554,Victoria line to Green Park
Victoria,Green Park,1555,1556,Victoria line to Green Park
Victoria,Green Park,1557,1558,Victoria line to Green Park
Victoria,Green Park,1559,1560,Victoria line to Green Park
Victoria,Green Park,1601,1602,Victoria line to Green Park
Victoria,Green Park,1603,1604,Victoria line to Green Park
Victoria,Green Park,1605,1606,Victoria line to Green Park
Victoria,Green Park,1607,1608,Victoria line to Green Park
Victoria,Green Park,1609,1610,Victoria line to Green Park
Victoria,Green Park,1611,1612,Victoria line to Green Park
Victoria,Green Park,1613,1614,Victoria line to Green Park
Victoria,Green Park,1615,1616,Victoria line to Green Park
Victoria,Green Park,1617,1618,Victoria line to Green Park
Victoria,Green Park,1619,1620,Victoria line to Green Park
Victoria,Green Park,1621,1622,Victoria line to Green Park
Victoria,Green Park,1622,1623,Victoria line to Green Park
Victoria,Green Park,1624,1625,Victoria line to Green Park
Victoria,Green Park,1626,1627,Victoria line to Green Park
Victoria,Green Park,1627,1628,Victoria line to Green Park
Victoria,Green Park,1629,1630,Victoria line to Green Park
Victoria,Green Park,1631,1632,Victoria line to Green Park
Victoria,Green Park,1632,1633,Victoria line to Green Park
Victoria,Green Park,1634,1635,Victoria line to Green Park
Victoria,Green Park,1636,1637,Victoria line to Green Park
Victoria,Green Park,1637,1638,Victoria line to Green Park
Victoria,Green Park,1639,1640,Victoria line to Green Park
Victoria,Green Park,1641,1642,Victoria line to Green Park
Victoria,Green Park,1642,1643,Victoria line to Green Park
Victoria,Green Park,1644,1645,Victoria line to Green Park
Victoria,Green Park,1646,1647,Victoria line to Green Park
Victoria,Green Park,1647,1648,Victoria line to Green Park
Victoria,Green Park,1649,1650,Victoria line to Green Park
Victoria,Green Park,1651,1652,Victoria line to Green Park
Victoria,Green Park,1652,1653,Victoria line to Green Park
Victoria,Green Park,1654,1655,Victoria line to Green Park
Victoria,Green Park,1656,1657,Victoria line to Green Park
Victoria,Green Park,1657,1658,Victoria line to Green Park
Victoria,Green Park,1659,1660,Victoria line to Green Park
Victoria,Green Park,1701,1702,Victoria line to Green Park
Victoria,Green Park,1702,1703,Victoria line to Green Park
Victoria,Green Park,1704,1705,Victoria line to Green Park
Victoria,Green Park,1706,1707,Victoria line to Green Park
Victoria,Green Park,1707,1708,Victoria line to Green Park
Victoria,Green Park,1709,1710,Victoria line to Green Park
Victoria,Green Park,1711,1712,Victoria line to Green Park
Victoria,Green Park,1712,1713,Victoria line to Green Park
Victoria,Green Park,1714,1715,Victoria line to Green Park
Victoria,Green Park,1716,1717,Victoria line to Green Park
Victoria,Green Park,1717,1718,Victoria line to Green Park
Victoria,Green Park,1719,1720,Victoria line to Green Park
Victoria,Green Park,1721,1722,Victoria line to Green Park
Victoria,Green Park,1722,1723,Victoria line to Green Park
Victoria,Green Park,1724,1725,Victoria line to Green Park
Victoria,Green Park,1726,1727,Victoria line to Green Park
Victoria,Green Park,1727,1728,Victoria line to Green Park
