node1,node2,tstart,tend,line
Waterloo,Bank,600,604,Waterloo & City line to Bank
Waterloo,Bank,600,604,Waterloo & City line to Bank
Waterloo,Bank,607,611,Waterloo & City line to Bank
Waterloo,Bank,607,611,Waterloo & City line to Bank
Waterloo,Bank,614,618,Waterloo & City line to Bank
Waterloo,Bank,614,618,Waterloo & City line to Bank
Waterloo,Bank,620,624,Waterloo & City line to Bank
Waterloo,Bank,620,624,Waterloo & City line to Bank
Waterloo,Bank,625,629,Waterloo & City line to Bank
Waterloo,Bank,625,629,Waterloo & City line to Bank
Waterloo,Bank,630,634,Waterloo & City line to Bank
Waterloo,Bank,630,634,Waterloo & City line to Bank
Waterloo,Bank,634,638,Waterloo & City line to Bank
Waterloo,Bank,634,638,Waterloo & City line to Bank
Waterloo,Bank,639,643,Waterloo & City line to Bank
Waterloo,Bank,643,647,Waterloo & City line to Bank
Waterloo,Bank,646,650,Waterloo & City line to Bank
Waterloo,Bank,649,653,Waterloo & City line to Bank
Waterloo,Bank,652,656,Waterloo & City line to Bank
Waterloo,Bank,655,659,Waterloo & City line to Bank
Waterloo,Bank,657,661,Waterloo & City line to Bank
Waterloo,Bank,700,704,Waterloo & City line to Bank
Waterloo,Bank,703,707,Waterloo & City line to Bank
Waterloo,Bank,706,710,Waterloo & City line to Bank
Waterloo,Bank,708,712,Waterloo & City line to Bank
Waterloo,Bank,711,715,Waterloo & City line to Bank
Waterloo,Bank,714,718,Waterloo & City line to Bank
Waterloo,Bank,717,721,Waterloo & City line to Bank
Waterloo,Bank,719,723,Waterloo & City line to Bank
Waterloo,Bank,722,726,Waterloo & City line to Bank
Waterloo,Bank,725,729,Waterloo & City line to Bank
Waterloo,Bank,728,732,Waterloo & City line to Bank
Waterloo,Bank,730,734,Waterloo & City line to Bank
Waterloo,Bank,733,737,Waterloo & City line to Bank
Waterloo,Bank,736,740,Waterloo & City line to Bank
Waterloo,Bank,739,743,Waterloo & City line to Bank
Waterloo,Bank,741,745,Waterloo & City line to Bank
Waterloo,Bank,744,748,Waterloo & City line to Bank
Waterloo,Bank,747,751,Waterloo & City line to Bank
Waterloo,Bank,750,754,Waterloo & City line to Bank
Waterloo,Bank,752,756,Waterloo & City line to Bank
Waterloo,Bank,755,759,Waterloo & City line to Bank
Waterloo,Bank,758,762,Waterloo & City line to Bank
Waterloo,Bank,801,805,Waterloo & City line to Bank
Waterloo,Bank,803,807,Waterloo & City line to Bank
Waterloo,Bank,806,810,Waterloo & City line to Bank
Waterloo,Bank,809,813,Waterloo & City line to Bank
Waterloo,Bank,812,816,Waterloo & City line to Bank
Waterloo,Bank,814,818,Waterloo & City line to Bank
Waterloo,Bank,817,821,Waterloo & City line to Bank
Waterloo,Bank,820,824,Waterloo & City line to Bank
Waterloo,Bank,823,827,Waterloo & City line to Bank
Waterloo,Bank,825,829,Waterloo & City line to Bank
Waterloo,Bank,828,832,Waterloo & City line to Bank
Waterloo,Bank,831,835,Waterloo & City line to Bank
Waterloo,Bank,834,838,Waterloo & City line to Bank
Waterloo,Bank,836,840,Waterloo & City line to Bank
Waterloo,Bank,839,843,Waterloo & City line to Bank
Waterloo,Bank,842,846,Waterloo & City line to Bank
Waterloo,Bank,845,849,Waterloo & City line to Bank
Waterloo,Bank,847,851,Waterloo & City line to Bank
Waterloo,Bank,850,854,Waterloo & City line to Bank
Waterloo,Bank,853,857,Waterloo & City line to Bank
Waterloo,Bank,856,860,Waterloo & City line to Bank
Waterloo,Bank,858,862,Waterloo & City line to Bank
Waterloo,Bank,901,905,Waterloo & City line to Bank
Waterloo,Bank,904,908,Waterloo & City line to Bank
Waterloo,Bank,907,911,Waterloo & City line to Bank
Waterloo,Bank,909,913,Waterloo & City line to Bank
Waterloo,Bank,912,916,Waterloo & City line to Bank
Waterloo,Bank,915,919,Waterloo & City line to Bank
Waterloo,Bank,918,922,Waterloo & City line to Bank
Waterloo,Bank,920,924,Waterloo & City line to Bank
Waterloo,Bank,923,927,Waterloo & City line to Bank
Waterloo,Bank,926,930,Waterloo & City line to Bank
Waterloo,Bank,929,933,Waterloo & City line to Bank
Waterloo,Bank,931,935,Waterloo & City line to Bank
Waterloo,Bank,934,938,Waterloo & City line to Bank
Waterloo,Bank,937,941,Waterloo & City line to Bank
Waterloo,Bank,941,945,Waterloo & City line to Bank
Waterloo,Bank,945,949,Waterloo & City line to Bank
Waterloo,Bank,948,952,Waterloo & City line to Bank
Waterloo,Bank,951,955,Waterloo & City line to Bank
Waterloo,Bank,955,959,Waterloo & City line to Bank
Waterloo,Bank,958,962,Waterloo & City line to Bank
Waterloo,Bank,1002,1006,Waterloo & City line to Bank
Waterloo,Bank,1005,1009,Waterloo & City line to Bank
Waterloo,Bank,1009,1013,Waterloo & City line to Bank
Waterloo,Bank,1012,1016,Waterloo & City line to Bank
Waterloo,Bank,1016,1020,Waterloo & City line to Bank
Waterloo,Bank,1019,1023,Waterloo & City line to Bank
Waterloo,Bank,1023,1027,Waterloo & City line to Bank
Waterloo,Bank,1026,1030,Waterloo & City line to Bank
Waterloo,Bank,1030,1034,Waterloo & City line to Bank
Waterloo,Bank,1035,1039,Waterloo & City line to Bank
Waterloo,Bank,1040,1044,Waterloo & City line to Bank
Waterloo,Bank,1045,1049,Waterloo & City line to Bank
Waterloo,Bank,1051,1055,Waterloo & City line to Bank
Waterloo,Bank,1055,1059,Waterloo & City line to Bank
Waterloo,Bank,1100,1104,Waterloo & City line to Bank
Waterloo,Bank,1105,1109,Waterloo & City line to Bank
Waterloo,Bank,1110,1114,Waterloo & City line to Bank
Waterloo,Bank,1115,1119,Waterloo & City line to Bank
Waterloo,Bank,1120,1124,Waterloo & City line to Bank
Waterloo,Bank,1125,1129,Waterloo & City line to Bank
Waterloo,Bank,1130,1134,Waterloo & City line to Bank
Waterloo,Bank,1135,1139,Waterloo & City line to Bank
Waterloo,Bank,1140,1144,Waterloo & City line to Bank
Waterloo,Bank,1146,1150,Waterloo & City line to Bank
Waterloo,Bank,1151,1155,Waterloo & City line to Bank
Waterloo,Bank,1156,1160,Waterloo & City line to Bank
Waterloo,Bank,1200,1204,Waterloo & City line to Bank
Waterloo,Bank,1206,1210,Waterloo & City line to Bank
Waterloo,Bank,1210,1214,Waterloo & City line to Bank
Waterloo,Bank,1215,1219,Waterloo & City line to Bank
Waterloo,Bank,1220,1224,Waterloo & City line to Bank
Waterloo,Bank,1225,1229,Waterloo & City line to Bank
Waterloo,Bank,1230,1234,Waterloo & City line to Bank
Waterloo,Bank,1235,1239,Waterloo & City line to Bank
Waterloo,Bank,1240,1244,Waterloo & City line to Bank
Waterloo,Bank,1246,1250,Waterloo & City line to Bank
Waterloo,Bank,1251,1255,Waterloo & City line to Bank
Waterloo,Bank,1256,1260,Waterloo & City line to Bank
Waterloo,Bank,1300,1304,Waterloo & City line to Bank
Waterloo,Bank,1306,1310,Waterloo & City line to Bank
Waterloo,Bank,1310,1314,Waterloo & City line to Bank
Waterloo,Bank,1315,1319,Waterloo & City line to Bank
Waterloo,Bank,1320,1324,Waterloo & City line to Bank
Waterloo,Bank,1325,1329,Waterloo & City line to Bank
Waterloo,Bank,1330,1334,Waterloo & City line to Bank
Waterloo,Bank,1335,1339,Waterloo & City line to Bank
Waterloo,Bank,1340,1344,Waterloo & City line to Bank
Waterloo,Bank,1346,1350,Waterloo & City line to Bank
Waterloo,Bank,1351,1355,Waterloo & City line to Bank
Waterloo,Bank,1356,1360,Waterloo & City line to Bank
Waterloo,Bank,1400,1404,Waterloo & City line to Bank
Waterloo,Bank,1406,1410,Waterloo & City line to Bank
Waterloo,Bank,1410,1414,Waterloo & City line to Bank
Waterloo,Bank,1415,1419,Waterloo & City line to Bank
Waterloo,Bank,1420,1424,Waterloo & City line to Bank
Waterloo,Bank,1425,1429,Waterloo & City line to Bank
Waterloo,Bank,1430,1434,Waterloo & City line to Bank
Waterloo,Bank,1435,1439,Waterloo & City line to Bank
Waterloo,Bank,1440,1444,Waterloo & City line to Bank
Waterloo,Bank,1446,1450,Waterloo & City line to Bank
Waterloo,Bank,1451,1455,Waterloo & City line to Bank
Waterloo,Bank,1456,1460,Waterloo & City line to Bank
Waterloo,Bank,1500,1504,Waterloo & City line to Bank
Waterloo,Bank,1506,1510,Waterloo & City line to Bank
Waterloo,Bank,1510,1514,Waterloo & City line to Bank
